State,County,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),High school graduate or higher (Population 25 years and over),Bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Missouri,Buchanan,"9,435",19.4%,31.4%,43.0%,6.3%,"57,978",4.6%,9.3%,39.9%,21.7%,5.1%,13.0%,6.4%,86.2%,19.4%,"11,651",87.9%,22.8%,"11,318",86.3%,20.8%,"22,539",88.9%,19.9%,"12,470",79.6%,13.9%,25.1%,10.5%,9.7%,2.4%,"29,365","16,388","25,152","29,826","38,113","48,542",1789
Missouri,Butler,"3,433",26.2%,34.8%,34.5%,4.5%,"28,931",8.4%,15.4%,36.2%,19.6%,6.4%,8.3%,5.7%,76.2%,14.1%,"5,024",83.2%,13.2%,"5,350",86.2%,16.9%,"11,489",80.0%,16.4%,"7,068",57.6%,8.7%,32.2%,14.7%,10.1%,1.9%,"26,824","14,137","22,918","27,594","38,056","45,228",1792
Missouri,Caldwell,652,24.7%,39.3%,27.3%,8.7%,"6,324",4.0%,10.2%,46.0%,21.0%,6.9%,8.1%,3.7%,85.8%,11.8%,949,83.0%,11.1%,"1,149",89.5%,15.4%,"2,670",90.4%,13.6%,"1,556",76.7%,6.7%,31.7%,13.8%,7.8%,3.2%,"28,983","19,375","27,967","27,190","40,766","41,917",1795
Missouri,Callaway,"5,170",22.5%,31.2%,41.8%,4.5%,"28,454",4.2%,10.7%,38.1%,19.8%,6.8%,13.4%,6.9%,85.1%,20.4%,"5,343",83.4%,19.6%,"6,031",88.2%,20.8%,"12,036",89.6%,22.9%,"5,044",72.3%,14.5%,19.7%,11.0%,5.3%,3.6%,"30,686","20,628","26,667","31,165","40,269","45,640",1799
Missouri,Camden,"2,868",27.1%,31.3%,34.1%,7.6%,"31,990",3.0%,6.8%,35.9%,26.3%,7.1%,13.3%,7.6%,90.2%,21.0%,"4,006",90.3%,18.9%,"4,697",93.7%,18.5%,"14,559",92.6%,23.5%,"8,728",84.3%,19.0%,17.4%,7.8%,7.4%,2.8%,"26,192","20,043","22,821","25,985","38,961","46,312",1803
Missouri,Cape Girardeau,"10,456",9.4%,31.0%,54.6%,5.0%,"47,328",5.5%,8.7%,33.9%,20.3%,4.6%,17.7%,9.2%,85.8%,26.9%,"9,183",90.3%,34.1%,"8,961",91.6%,29.2%,"18,810",89.6%,28.3%,"10,374",69.9%,16.2%,18.3%,10.8%,8.6%,3.2%,"30,131","21,265","23,898","29,247","36,545","45,415",1808
Missouri,Carroll,683,21.5%,38.9%,38.2%,1.3%,"6,545",6.5%,9.4%,44.5%,16.8%,5.0%,11.8%,6.1%,84.1%,17.9%,"1,033",85.8%,26.6%,"1,174",89.9%,14.6%,"2,556",86.8%,20.0%,"1,782",75.4%,12.0%,27.5%,11.2%,5.4%,5.0%,"30,081","16,641","28,583","30,994","34,856","37,895",1822
Missouri,Carter,508,18.1%,27.6%,54.3%,0.0%,"4,135",11.1%,13.3%,38.2%,20.2%,6.2%,6.0%,5.1%,75.7%,11.1%,615,89.8%,13.0%,784,88.1%,6.9%,"1,739",81.1%,18.1%,997,47.6%,0.9%,26.9%,13.3%,12.4%,4.4%,"21,937","12,500","20,810","24,250","39,188","45,195",1001
Missouri,Cass,"7,546",21.0%,38.6%,34.5%,5.8%,"63,821",2.3%,6.1%,36.9%,25.8%,7.4%,14.8%,6.6%,91.6%,21.4%,"11,632",94.1%,24.7%,"14,070",94.5%,27.9%,"25,309",92.9%,20.5%,"12,810",83.4%,13.1%,17.0%,5.8%,4.5%,2.1%,"36,654","21,200","30,758","36,501","47,700","54,066",1004
Missouri,Cedar,970,37.4%,22.9%,36.9%,2.8%,"9,823",6.8%,10.0%,46.1%,18.3%,6.8%,8.1%,3.8%,83.1%,11.9%,"1,267",80.3%,7.3%,"1,622",86.9%,20.2%,"3,873",88.0%,11.3%,"3,061",76.0%,10.1%,24.4%,10.5%,11.8%,8.0%,"23,077","16,469","23,756","21,403","33,285","39,806",1007
Missouri,Chariton,559,15.4%,36.5%,46.9%,1.3%,"5,551",5.9%,9.3%,46.6%,18.6%,5.3%,9.2%,5.0%,84.7%,14.2%,731,96.3%,27.8%,873,90.6%,22.7%,"2,281",88.3%,13.9%,"1,666",71.7%,4.3%,24.9%,12.9%,12.5%,6.6%,"29,388","19,896","29,309","27,842","32,969","42,788",1011
Missouri,Christian,"5,612",14.1%,35.1%,43.2%,7.6%,"48,180",2.0%,6.3%,31.3%,26.3%,7.2%,19.6%,7.3%,91.7%,26.9%,"10,006",94.5%,31.8%,"10,832",94.8%,34.9%,"18,587",93.8%,25.7%,"8,755",80.1%,14.0%,14.8%,7.9%,8.1%,3.2%,"32,182","20,762","26,725","30,113","41,336","51,865",1014
Missouri,Clark,515,16.5%,35.5%,42.9%,5.0%,"4,910",5.8%,9.8%,43.7%,21.4%,6.3%,10.0%,2.9%,84.3%,12.9%,746,87.9%,20.6%,927,91.3%,21.0%,"2,002",86.6%,11.5%,"1,235",73.2%,4.3%,16.0%,7.1%,9.0%,6.1%,"26,069","16,210","25,062","26,974","33,750","27,292",1015
Missouri,Clay,"17,771",13.6%,33.3%,40.6%,12.5%,"141,602",2.4%,6.2%,29.3%,24.4%,7.6%,20.6%,9.6%,91.4%,30.2%,"31,163",93.4%,37.5%,"31,833",94.3%,37.3%,"54,891",93.6%,28.7%,"23,715",80.1%,14.5%,16.1%,7.1%,5.7%,2.0%,"39,370","21,435","32,035","36,917","48,879","55,921",1018
Missouri,Clinton,"1,575",16.2%,40.1%,37.4%,6.3%,"13,929",1.9%,7.9%,41.1%,24.5%,7.0%,11.2%,6.4%,90.2%,17.6%,"2,239",92.9%,19.0%,"2,768",95.2%,16.3%,"5,799",91.5%,20.4%,"3,123",81.3%,12.5%,20.4%,8.9%,6.1%,2.8%,"32,350","19,773","29,173","32,432","40,160","49,426",1021
Missouri,Cole,"8,277",12.6%,35.6%,45.5%,6.2%,"48,725",4.0%,7.1%,31.1%,20.9%,6.4%,20.5%,10.0%,88.9%,30.5%,"9,684",89.5%,33.8%,"10,052",89.9%,34.7%,"20,021",93.1%,32.2%,"8,968",77.7%,18.5%,22.1%,9.0%,6.8%,1.3%,"35,066","18,879","27,426","33,203","44,113","52,116",1022
Missouri,Cooper,"1,968",41.5%,27.6%,25.8%,5.1%,"11,765",4.6%,12.7%,38.6%,20.9%,7.4%,11.1%,4.6%,82.7%,15.7%,"2,400",78.4%,14.3%,"2,100",88.7%,17.6%,"4,636",86.8%,17.0%,"2,629",74.4%,13.2%,22.8%,11.7%,12.6%,3.3%,"26,304","17,413","24,131","29,090","33,208","40,430",1025
Missouri,Crawford,"1,928",36.2%,37.1%,24.9%,1.8%,"16,595",8.3%,14.0%,41.2%,20.6%,5.0%,7.5%,3.3%,77.7%,10.8%,"2,818",79.8%,15.1%,"3,104",85.3%,11.3%,"6,732",83.5%,11.6%,"3,941",60.2%,6.0%,21.5%,12.5%,9.9%,4.5%,"23,455","20,816","21,517","24,893","38,979","32,917",1028
Missouri,Dade,524,23.1%,45.2%,28.1%,3.6%,"5,608",6.4%,11.6%,46.3%,21.2%,5.5%,6.4%,2.7%,82.0%,9.1%,736,85.1%,11.1%,898,83.3%,4.0%,"2,349",87.3%,10.7%,"1,625",72.4%,8.7%,28.1%,13.4%,18.3%,11.6%,"21,444","12,391","21,880","21,811","29,688","31,894",1030
Missouri,Dallas,"1,274",21.2%,56.5%,17.3%,4.9%,"11,368",7.3%,13.1%,46.6%,17.9%,4.4%,8.6%,2.2%,79.5%,10.7%,"1,784",84.2%,11.9%,"2,041",82.3%,9.6%,"4,768",83.7%,13.4%,"2,775",67.3%,6.2%,24.0%,10.0%,5.8%,8.5%,"27,388","18,531","26,446","28,392","34,840","36,875",1032
Missouri,Daviess,631,32.3%,24.9%,39.5%,3.3%,"5,511",7.0%,9.0%,43.7%,19.2%,6.8%,10.0%,4.4%,84.0%,14.4%,873,87.3%,12.6%,949,87.9%,15.9%,"2,272",85.1%,17.4%,"1,417",77.7%,9.6%,24.1%,11.0%,6.7%,3.4%,"27,090","21,938","24,537","30,262","38,113","45,250",1036
Missouri,DeKalb,"1,134",28.0%,46.5%,24.3%,1.2%,"9,449",4.9%,12.5%,46.5%,17.7%,6.4%,8.6%,3.4%,82.6%,12.0%,"2,094",83.5%,14.3%,"2,207",77.2%,8.2%,"3,426",87.2%,14.9%,"1,722",79.2%,8.1%,8.1%,10.1%,8.5%,2.9%,"27,645","11,940","25,367","27,782","39,297","45,741",1038
Missouri,Dent,"1,216",32.2%,34.2%,32.6%,0.9%,"10,703",10.6%,13.4%,38.3%,20.2%,6.3%,7.6%,3.6%,76.0%,11.2%,"1,556",83.4%,10.0%,"1,886",84.1%,14.3%,"4,370",80.6%,12.3%,"2,891",59.7%,8.2%,26.9%,12.8%,12.9%,2.0%,"26,413","16,807","25,361","30,214","37,936","35,833",1040
Missouri,Douglas,"1,227",25.7%,36.9%,37.4%,0.0%,"9,279",7.0%,13.7%,44.7%,19.8%,4.6%,6.8%,3.4%,79.3%,10.2%,993,76.6%,4.8%,"1,703",84.3%,9.2%,"4,006",87.0%,13.3%,"2,577",65.1%,8.0%,29.0%,14.8%,17.0%,9.1%,"22,075","16,202","21,822","22,202","30,214","40,625",1043
Missouri,Dunklin,"2,609",41.0%,38.7%,17.0%,3.3%,"21,326",14.3%,18.2%,37.9%,15.7%,3.9%,5.7%,4.4%,67.5%,10.1%,"3,736",76.8%,9.2%,"3,939",72.5%,11.8%,"8,337",71.9%,10.7%,"5,314",50.5%,8.3%,32.0%,15.4%,12.5%,5.5%,"23,637","16,611","22,496","25,129","38,750","42,481",1045
Missouri,Franklin,"8,441",19.1%,34.9%,41.0%,5.0%,"66,820",5.7%,9.3%,36.5%,23.6%,8.4%,10.4%,6.1%,85.0%,16.5%,"11,638",90.1%,18.5%,"13,924",89.5%,17.3%,"27,846",88.9%,18.2%,"13,412",67.6%,10.6%,19.2%,8.9%,7.5%,5.1%,"31,659","21,301","28,377","32,100","40,364","49,094",1047
Missouri,Gasconade,"1,092",28.2%,28.0%,38.2%,5.6%,"10,819",8.1%,10.0%,40.6%,19.8%,7.4%,9.0%,5.1%,81.9%,14.1%,"1,490",85.6%,13.3%,"1,845",86.3%,15.4%,"4,510",86.5%,17.4%,"2,974",70.3%,8.8%,17.3%,11.5%,3.7%,1.8%,"27,012","17,339","25,150","28,763","34,068","43,611",1049
Missouri,Gentry,532,29.7%,37.6%,22.9%,9.8%,"4,542",7.0%,10.5%,45.2%,19.7%,5.6%,8.1%,3.9%,82.5%,12.0%,639,83.1%,18.5%,773,90.0%,8.7%,"1,692",83.7%,15.1%,"1,438",76.8%,7.3%,30.3%,10.0%,6.7%,1.3%,"25,410","18,531","23,625","27,000","36,518","33,681",1052
Missouri,Greene,"38,642",9.5%,22.7%,59.2%,8.6%,"174,128",3.1%,8.3%,29.8%,25.1%,6.1%,17.8%,9.7%,88.6%,27.5%,"36,826",90.2%,31.7%,"33,472",90.9%,30.4%,"66,663",91.3%,27.8%,"37,167",80.0%,20.3%,25.4%,13.0%,10.8%,4.6%,"29,499","17,280","25,205","27,943","37,185","47,694",1054
Missouri,Grundy,932,24.9%,46.2%,28.3%,0.5%,"6,868",6.0%,10.3%,41.0%,21.7%,8.1%,8.6%,4.3%,83.7%,12.8%,954,86.2%,15.3%,"1,120",93.1%,17.5%,"2,702",85.2%,12.8%,"2,092",75.5%,9.2%,26.7%,10.2%,12.6%,5.6%,"22,447","15,568","21,468","23,661","29,726","30,865",1057
Missouri,Harrison,619,25.4%,41.2%,28.6%,4.8%,"6,154",4.8%,10.6%,50.7%,20.5%,5.7%,5.5%,2.1%,84.6%,7.6%,906,88.3%,13.1%,941,88.4%,7.2%,"2,421",85.9%,8.1%,"1,886",79.2%,4.6%,22.9%,12.3%,12.2%,7.0%,"26,475","21,125","25,250","26,901","31,038","42,188",1058
Missouri,Henry,"1,563",27.9%,44.0%,23.8%,4.4%,"15,804",5.2%,11.1%,42.7%,21.2%,4.8%,10.1%,5.0%,83.7%,15.1%,"2,469",90.1%,14.8%,"2,670",86.9%,16.4%,"6,308",84.7%,16.3%,"4,357",76.8%,12.7%,33.4%,12.3%,12.5%,3.3%,"26,630","14,867","26,013","26,532","35,362","41,838",1061
Missouri,Hickory,494,12.3%,44.1%,33.6%,9.9%,"7,403",4.8%,16.4%,44.8%,21.8%,4.2%,6.2%,2.0%,78.9%,8.1%,553,82.8%,10.5%,"1,051",82.4%,10.0%,"3,023",82.6%,8.5%,"2,776",72.7%,6.5%,21.5%,13.3%,10.0%,12.5%,"20,147","21,176","19,784","18,224","30,735","39,038",1063
Missouri,Holt,327,22.3%,48.6%,26.9%,2.1%,"3,623",3.8%,7.4%,49.6%,20.1%,2.6%,10.8%,5.5%,88.7%,16.3%,516,96.9%,25.4%,593,94.1%,16.5%,"1,466",89.3%,18.0%,"1,048",80.9%,9.4%,19.9%,12.8%,8.6%,4.1%,"26,892","14,226","24,531","27,670","34,375","38,839",1065
Missouri,Howard,"1,377",12.1%,40.5%,45.7%,1.8%,"6,582",6.2%,8.1%,42.1%,18.2%,3.7%,14.1%,7.5%,85.6%,21.6%,"1,077",94.0%,32.6%,"1,117",88.6%,16.2%,"2,771",88.7%,24.2%,"1,617",72.8%,13.5%,20.4%,11.7%,9.7%,4.0%,"28,450","18,525","25,717","28,390","33,507","46,648",1068
Missouri,Howell,"3,344",17.5%,41.8%,37.6%,3.1%,"26,493",6.7%,11.0%,41.9%,21.7%,4.7%,8.0%,6.2%,82.4%,14.1%,"4,477",86.8%,17.8%,"4,812",90.0%,14.5%,"10,444",85.6%,15.0%,"6,760",69.0%,10.2%,29.2%,17.8%,11.8%,4.0%,"23,971","18,542","21,415","26,162","29,748","44,748",1070
Missouri,Iron,810,27.2%,47.0%,25.8%,0.0%,"7,390",10.2%,14.6%,41.4%,19.1%,5.6%,6.3%,2.9%,75.2%,9.1%,"1,102",78.9%,7.4%,"1,357",82.1%,8.8%,"3,089",78.1%,9.6%,"1,842",62.9%,9.7%,34.3%,15.9%,14.7%,3.7%,"24,908","18,292","22,071","27,652","33,859","43,281",1072
Missouri,Jackson,"61,939",19.1%,33.0%,36.8%,11.1%,"439,574",3.6%,9.1%,30.1%,23.8%,6.6%,16.9%,10.0%,87.3%,26.9%,"96,137",88.1%,30.9%,"90,243",89.1%,28.8%,"171,103",89.3%,27.6%,"82,091",80.3%,18.4%,28.2%,14.0%,9.7%,4.1%,"33,447","18,848","27,247","32,663","43,794","53,870",1074
Missouri,Jasper,"11,783",23.8%,34.7%,36.2%,5.3%,"73,429",5.8%,12.8%,33.3%,23.1%,6.3%,12.6%,5.9%,81.3%,18.6%,"15,726",82.5%,20.5%,"14,923",81.8%,19.1%,"27,533",84.2%,19.5%,"15,247",74.7%,14.4%,27.7%,14.8%,12.6%,3.5%,"26,648","17,608","24,399","26,581","35,013","51,291",1078
Missouri,Jefferson,"18,293",17.9%,36.3%,40.4%,5.4%,"142,692",4.3%,10.2%,34.7%,25.2%,9.4%,10.6%,5.5%,85.5%,16.1%,"28,146",90.1%,22.6%,"31,648",89.6%,18.5%,"60,077",87.9%,15.0%,"22,821",68.0%,7.7%,14.8%,8.8%,5.9%,3.1%,"35,284","23,618","30,947","36,681","45,441","53,255",1082
Missouri,Johnson,"10,547",7.3%,19.8%,66.7%,6.2%,"29,506",2.9%,6.5%,32.3%,26.4%,7.9%,14.3%,9.8%,90.7%,24.1%,"6,636",93.2%,23.5%,"6,170",94.9%,27.9%,"11,329",90.5%,25.5%,"5,371",83.1%,17.8%,19.6%,11.8%,10.1%,5.6%,"30,196","20,981","24,533","29,194","35,766","46,941",1087
Missouri,Knox,297,24.2%,43.1%,28.6%,4.0%,"2,822",5.2%,8.5%,52.6%,16.4%,3.3%,6.6%,7.3%,86.3%,13.9%,345,84.3%,33.3%,484,85.5%,15.9%,"1,158",92.3%,13.6%,835,79.3%,5.1%,33.1%,12.8%,16.7%,10.2%,"23,876","13,750","19,799","23,424","27,292","42,652",1091
Missouri,Laclede,"2,816",22.0%,44.9%,31.7%,1.5%,"23,499",5.9%,12.9%,41.9%,20.6%,5.6%,9.4%,3.6%,81.1%,13.0%,"4,163",80.8%,14.6%,"4,679",87.7%,12.9%,"9,340",81.7%,13.2%,"5,317",74.6%,11.5%,24.0%,11.0%,8.3%,5.0%,"25,160","19,144","22,865","28,766","31,352","43,657",1096
Missouri,Lafayette,"2,621",14.9%,44.6%,35.7%,4.7%,"22,483",5.9%,9.1%,40.6%,22.3%,6.2%,10.9%,5.0%,85.0%,15.9%,"3,672",87.0%,20.1%,"4,400",87.8%,17.3%,"9,141",89.4%,17.2%,"5,270",73.5%,9.4%,25.2%,8.0%,6.4%,3.1%,"31,489","14,154","28,780","32,672","41,768","45,938",1099
Missouri,Lawrence,"2,793",30.1%,35.1%,32.0%,2.8%,"25,380",7.7%,11.8%,41.1%,20.4%,5.7%,9.0%,4.3%,80.5%,13.3%,"4,393",80.2%,15.0%,"5,141",85.1%,16.3%,"9,794",82.7%,12.4%,"6,052",73.2%,11.1%,33.2%,12.4%,9.0%,1.9%,"25,693","17,860","23,366","25,756","37,285","48,553",1101
Missouri,Lewis,"1,258",13.5%,18.8%,63.9%,3.8%,"6,550",6.3%,9.3%,44.4%,21.9%,5.1%,9.6%,3.5%,84.4%,13.0%,"1,011",78.8%,24.0%,"1,225",87.1%,13.5%,"2,681",86.6%,11.7%,"1,633",82.3%,8.0%,27.2%,11.4%,7.0%,3.3%,"26,405","25,000","22,276","27,130","32,374","29,243",1104
Missouri,Lincoln,"4,081",21.0%,42.5%,29.4%,7.2%,"32,630",4.9%,12.0%,42.5%,22.0%,6.7%,7.9%,4.0%,83.1%,11.9%,"6,886",87.5%,14.9%,"7,300",85.4%,14.3%,"13,056",87.0%,11.5%,"5,388",65.0%,5.8%,16.2%,8.0%,6.3%,5.8%,"31,159","22,191","28,798","34,483","39,578","47,483",1106
Missouri,Linn,926,20.5%,41.3%,36.1%,2.2%,"8,746",4.4%,7.6%,50.6%,17.6%,5.5%,7.5%,6.7%,87.9%,14.3%,"1,267",93.2%,20.8%,"1,474",87.7%,11.8%,"3,563",89.6%,15.4%,"2,442",82.9%,10.8%,21.3%,15.0%,9.5%,1.4%,"26,009","22,284","25,566","21,758","33,343","41,989",1109
Missouri,Livingston,"1,191",18.2%,42.8%,32.3%,6.6%,"10,389",5.4%,9.5%,44.7%,15.8%,5.6%,12.8%,6.2%,85.1%,19.0%,"1,791",89.7%,22.4%,"1,882",83.6%,25.2%,"3,960",89.9%,20.7%,"2,756",76.4%,10.2%,33.0%,18.0%,10.5%,2.4%,"27,013","18,151","22,697","25,750","40,608","47,317",1112
Missouri,McDonald,"2,050",31.9%,42.0%,25.3%,0.8%,"14,412",8.2%,15.2%,38.1%,26.4%,3.3%,6.8%,2.0%,76.6%,8.9%,"2,535",74.8%,10.6%,"3,155",76.8%,6.7%,"5,971",81.7%,7.8%,"2,751",67.1%,12.1%,24.1%,11.0%,11.4%,5.5%,"26,290","19,179","25,929","31,452","28,375","49,375",1113
Missouri,Macon,"1,086",27.1%,33.0%,32.7%,7.3%,"10,688",6.7%,11.2%,42.6%,19.0%,5.5%,10.6%,4.4%,82.1%,15.0%,"1,604",84.5%,22.6%,"1,800",88.1%,19.9%,"4,266",85.8%,14.8%,"3,018",72.2%,8.4%,24.8%,11.9%,11.3%,3.0%,"25,451","16,220","24,607","26,024","30,729","38,092",1116
Missouri,Madison,995,32.2%,40.1%,24.6%,3.1%,"8,339",9.7%,14.7%,36.7%,21.2%,6.9%,7.4%,3.4%,75.6%,10.7%,"1,314",87.4%,15.9%,"1,572",80.7%,5.2%,"3,252",81.0%,13.1%,"2,201",56.9%,8.1%,36.0%,10.6%,13.7%,2.5%,"23,664","16,860","21,052","26,807","27,871","24,833",1117
Missouri,Maries,751,15.8%,43.3%,38.1%,2.8%,"6,205",7.2%,13.2%,43.1%,16.3%,5.9%,8.9%,5.3%,79.6%,14.2%,907,92.9%,22.2%,"1,130",87.7%,20.2%,"2,578",81.7%,13.5%,"1,590",62.7%,6.7%,26.9%,9.7%,7.1%,7.4%,"25,776","14,954","22,642","27,643","37,500","36,975",1120
Missouri,Marion,"2,686",24.7%,28.7%,36.7%,9.9%,"19,017",5.1%,10.9%,40.9%,20.2%,5.9%,9.8%,7.1%,83.9%,16.9%,"3,446",85.3%,20.8%,"3,547",87.3%,18.7%,"7,430",87.1%,17.2%,"4,594",75.2%,12.1%,30.1%,11.2%,9.4%,2.7%,"27,617","16,136","24,392","30,269","37,188","45,603",1122
Missouri,Mercer,251,38.2%,19.5%,35.1%,7.2%,"2,565",6.0%,6.7%,46.8%,20.6%,5.6%,8.7%,5.5%,87.3%,14.2%,342,86.8%,25.4%,403,97.3%,22.6%,"1,068",91.6%,15.9%,752,75.9%,2.3%,35.6%,10.2%,13.2%,5.5%,"26,008","17,143","25,063","22,031","30,893","34,853",1125
Missouri,Miller,"2,020",25.0%,44.6%,24.0%,6.4%,"16,737",6.9%,10.5%,44.0%,22.2%,4.5%,9.0%,2.9%,82.6%,11.9%,"2,780",82.9%,8.5%,"3,285",85.7%,13.2%,"6,764",86.4%,14.2%,"3,908",73.1%,9.2%,26.5%,12.2%,12.7%,6.0%,"25,071","19,704","23,550","24,539","33,036","39,006",1128
Missouri,Mississippi,"1,348",35.8%,52.4%,9.3%,2.4%,"9,573",12.0%,21.8%,41.0%,11.9%,2.8%,7.7%,2.9%,66.2%,10.5%,"2,002",64.2%,12.1%,"1,666",70.5%,15.3%,"3,756",72.3%,10.4%,"2,149",54.0%,5.5%,33.2%,24.1%,14.4%,1.0%,"20,991","16,115","23,555","21,050","33,418","45,579",1131
Missouri,Moniteau,"1,320",34.2%,34.2%,24.5%,7.1%,"10,276",7.6%,12.0%,39.0%,19.6%,4.7%,12.3%,4.8%,80.4%,17.1%,"2,031",80.8%,21.9%,"2,200",82.0%,18.7%,"3,963",86.2%,17.7%,"2,082",67.1%,9.7%,13.4%,10.6%,8.2%,5.1%,"28,159","22,373","25,944","26,875","34,840","38,445",1135
Missouri,Monroe,665,26.0%,31.1%,34.9%,8.0%,"6,224",5.9%,9.6%,47.3%,19.4%,6.0%,7.2%,4.7%,84.6%,11.9%,910,83.3%,11.9%,"1,081",92.5%,13.2%,"2,587",89.9%,14.9%,"1,646",71.7%,6.3%,18.7%,10.7%,6.3%,1.6%,"27,234","18,264","26,317","27,792","31,202","54,219",1139
Missouri,Montgomery,849,26.5%,42.6%,26.5%,4.4%,"8,468",7.9%,13.7%,43.5%,16.8%,5.9%,8.3%,3.8%,78.3%,12.2%,"1,333",75.8%,14.5%,"1,470",87.3%,10.8%,"3,485",83.7%,14.8%,"2,180",65.2%,7.6%,18.3%,11.2%,10.0%,3.0%,"25,918","20,747","23,258","30,028","30,938","47,000",1142
Missouri,Morgan,"1,454",32.3%,49.7%,18.1%,0.0%,"14,651",9.9%,11.3%,41.4%,18.7%,6.9%,8.8%,3.0%,78.7%,11.8%,"1,796",68.3%,14.3%,"2,318",74.8%,8.7%,"6,134",86.7%,14.0%,"4,403",73.9%,9.3%,27.8%,13.0%,8.7%,5.0%,"25,006","19,747","22,993","26,250","33,359","43,024",1146
Missouri,New Madrid,"1,502",31.5%,31.7%,31.1%,5.7%,"12,807",9.8%,16.9%,41.3%,17.1%,2.6%,7.8%,4.4%,73.2%,12.2%,"2,243",83.3%,15.4%,"2,337",83.4%,11.9%,"5,249",75.3%,13.5%,"2,978",54.0%,7.9%,28.8%,15.2%,11.9%,6.3%,"25,034","17,909","22,442","25,638","34,192","43,250",1149
Missouri,Newton,"5,045",20.6%,44.1%,31.8%,3.5%,"37,757",4.9%,10.2%,34.6%,23.9%,8.2%,11.4%,6.9%,84.9%,18.3%,"6,255",86.2%,16.1%,"7,609",88.1%,22.0%,"15,363",88.5%,19.6%,"8,530",74.7%,14.1%,24.5%,12.3%,10.5%,2.5%,"27,163","17,375","24,183","28,287","36,120","44,407",1152
Missouri,Nodaway,"6,244",3.6%,23.4%,67.2%,5.8%,"12,509",5.2%,6.4%,39.0%,19.5%,6.2%,14.4%,9.3%,88.4%,23.7%,"2,398",90.5%,28.8%,"2,304",89.1%,23.4%,"4,792",92.9%,25.4%,"3,015",79.1%,17.1%,35.2%,11.8%,8.8%,3.6%,"29,263","15,326","26,146","29,404","35,417","46,898",1156
Missouri,Oregon,719,15.6%,58.4%,26.0%,0.0%,"7,552",11.0%,12.3%,42.4%,19.8%,4.4%,7.0%,3.1%,76.8%,10.2%,937,85.7%,6.3%,"1,249",85.7%,13.9%,"3,275",80.3%,12.1%,"2,091",61.9%,6.6%,41.7%,17.7%,16.7%,11.5%,"20,956","18,092","21,414","16,962","26,473","47,361",1158
Missouri,Osage,"1,255",20.9%,27.3%,43.6%,8.2%,"9,025",7.5%,6.4%,46.8%,15.5%,10.5%,9.3%,3.9%,86.0%,13.2%,"1,519",93.8%,21.8%,"1,883",95.2%,16.5%,"3,578",93.6%,12.9%,"2,045",58.5%,4.4%,16.8%,9.1%,9.0%,0.5%,"31,193","19,922","30,263","30,201","39,904","46,500",1164
Missouri,Ozark,609,27.1%,48.9%,22.8%,1.1%,"7,161",8.9%,12.5%,43.8%,19.8%,4.0%,6.4%,4.7%,78.7%,11.1%,835,83.1%,11.0%,"1,069",82.4%,13.1%,"3,073",87.8%,11.8%,"2,184",62.3%,9.2%,27.6%,12.8%,13.1%,5.0%,"23,211","16,215","23,238","24,233","22,393","31,641",1168
Missouri,Pemiscot,"1,593",26.4%,52.7%,17.8%,3.1%,"11,738",12.8%,17.1%,39.8%,15.2%,5.3%,5.6%,4.2%,70.1%,9.8%,"2,133",77.4%,10.0%,"2,288",79.5%,9.7%,"4,636",72.7%,11.7%,"2,681",51.7%,6.3%,42.1%,19.5%,13.1%,1.6%,"25,560","17,363","25,157","24,590","39,427","44,074",1170
Missouri,Perry,"1,592",18.8%,44.5%,31.2%,5.5%,"12,607",10.2%,9.3%,46.7%,15.5%,6.2%,8.6%,3.6%,80.5%,12.2%,"2,289",91.4%,13.3%,"2,448",90.2%,18.3%,"4,898",88.5%,12.5%,"2,972",50.8%,5.8%,17.6%,8.1%,4.0%,2.1%,"30,073","21,815","28,902","30,495","46,220","31,836",1172
Missouri,Pettis,"3,897",25.5%,36.3%,36.4%,1.8%,"26,970",7.8%,10.9%,34.9%,21.6%,9.0%,9.9%,5.9%,81.3%,15.8%,"5,077",80.4%,15.8%,"5,252",85.5%,16.2%,"10,540",85.2%,19.0%,"6,101",71.8%,9.8%,30.7%,11.5%,8.4%,4.2%,"25,859","17,914","23,514","25,268","35,718","43,052",1174
