County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units,FID
Indiana,Newton,33.0%,39.2%,91.1%,5.0%,3.9%,433
Indiana,Noble,36.0%,32.4%,79.4%,12.1%,8.6%,436
Indiana,Ohio,33.7%,33.7%,75.2%,13.6%,11.2%,440
Indiana,Orange,33.8%,37.7%,73.1%,6.3%,20.6%,444
Indiana,Owen,29.8%,35.6%,74.8%,4.3%,21.0%,448
Indiana,Parke,31.2%,40.0%,82.6%,4.4%,13.0%,452
Indiana,Perry,31.1%,36.7%,77.0%,9.4%,13.6%,459
Indiana,Pike,31.4%,39.5%,77.5%,4.4%,18.1%,465
Indiana,Porter,33.5%,31.3%,79.2%,15.5%,5.3%,468
Indiana,Posey,34.4%,31.1%,85.6%,6.2%,8.3%,471
Indiana,Pulaski,31.5%,33.9%,83.6%,6.7%,9.7%,477
Indiana,Putnam,34.2%,35.6%,82.4%,7.7%,9.8%,480
Indiana,Randolph,33.4%,38.1%,84.4%,7.3%,8.3%,485
Indiana,Ripley,35.2%,35.3%,81.8%,9.4%,8.8%,488
Indiana,Rush,34.1%,36.8%,85.2%,9.8%,4.9%,493
Indiana,St. Joseph,32.5%,32.5%,81.0%,17.5%,1.6%,496
Indiana,Scott,36.6%,33.9%,72.4%,9.7%,17.9%,504
Indiana,Shelby,33.5%,32.6%,81.7%,13.6%,4.7%,506
Indiana,Spencer,32.7%,35.2%,80.7%,6.9%,12.4%,509
Indiana,Starke,34.8%,38.1%,86.4%,5.1%,8.5%,512
Indiana,Steuben,32.4%,34.6%,77.3%,10.7%,12.0%,515
Indiana,Sullivan,29.6%,36.8%,80.4%,8.5%,11.2%,518
Indiana,Switzerland,34.4%,33.8%,81.1%,6.9%,11.9%,526
Indiana,Tippecanoe,29.0%,23.3%,66.0%,31.1%,2.9%,530
Indiana,Tipton,29.1%,37.5%,86.9%,7.2%,5.9%,534
Indiana,Union,34.3%,34.6%,82.2%,7.9%,9.9%,538
Indiana,Vanderburgh,30.6%,31.7%,73.7%,23.9%,2.3%,543
Indiana,Vermillion,32.7%,36.4%,85.4%,5.3%,9.3%,548
Indiana,Vigo,31.3%,32.9%,76.4%,19.2%,4.4%,553
Indiana,Wabash,30.2%,38.9%,82.1%,10.4%,7.5%,555
Indiana,Warren,35.1%,34.4%,89.9%,5.4%,4.7%,567
Indiana,Warrick,37.7%,33.5%,84.9%,9.6%,5.4%,575
Indiana,Washington,32.5%,32.5%,74.4%,6.3%,19.3%,584
Indiana,Wayne,31.7%,36.5%,79.8%,16.1%,4.1%,586
Indiana,Wells,34.0%,33.8%,82.9%,11.0%,6.2%,590
Indiana,White,33.5%,38.4%,85.6%,6.9%,7.5%,594
Indiana,Whitley,31.7%,33.0%,82.8%,9.3%,7.9%,597
Iowa,Adair,27.0%,44.2%,87.2%,9.3%,3.5%,598
Iowa,Adams,23.8%,40.1%,88.8%,8.2%,2.9%,602
Iowa,Allamakee,27.3%,38.1%,83.2%,10.7%,6.1%,608
Iowa,Appanoose,27.3%,41.9%,80.1%,10.9%,9.0%,611
Iowa,Audubon,26.2%,44.1%,93.2%,6.4%,0.4%,615
Iowa,Benton,35.7%,33.2%,87.6%,8.1%,4.3%,619
Iowa,Black Hawk,29.4%,31.7%,75.7%,21.2%,3.0%,623
Iowa,Boone,29.8%,34.9%,81.0%,14.2%,4.8%,625
Iowa,Bremer,31.6%,37.9%,85.7%,11.3%,3.0%,631
Iowa,Buchanan,34.8%,34.4%,85.2%,8.7%,6.1%,632
Iowa,Buena Vista,33.8%,36.9%,82.8%,15.1%,2.2%,633
Iowa,Butler,30.6%,40.4%,91.5%,6.2%,2.3%,361
Iowa,Calhoun,25.6%,44.7%,92.4%,7.0%,0.6%,365
Iowa,Carroll,30.8%,35.0%,82.6%,16.2%,1.1%,369
Iowa,Cass,28.8%,38.5%,83.4%,13.2%,3.3%,374
Iowa,Cedar,33.3%,36.9%,86.2%,9.2%,4.6%,379
Iowa,Cerro Gordo,27.1%,36.4%,81.1%,16.7%,2.2%,383
Iowa,Cherokee,22.4%,42.8%,88.1%,10.5%,1.4%,388
Iowa,Chickasaw,30.3%,39.0%,90.4%,6.6%,3.0%,393
Iowa,Clarke,31.1%,39.7%,81.0%,10.4%,8.7%,397
Iowa,Clay,28.4%,35.1%,80.2%,18.3%,1.5%,398
Iowa,Clayton,25.2%,38.8%,82.7%,12.0%,5.3%,402
Iowa,Clinton,30.3%,37.8%,81.4%,16.2%,2.4%,404
Iowa,Crawford,32.0%,38.1%,84.6%,11.7%,3.7%,408
Iowa,Dallas,37.8%,24.8%,77.6%,18.7%,3.7%,413
Iowa,Davis,36.5%,39.8%,86.3%,6.8%,6.9%,416
Iowa,Decatur,29.7%,39.7%,81.5%,11.1%,7.5%,419
Iowa,Delaware,33.5%,36.5%,86.6%,8.4%,5.0%,421
Iowa,Des Moines,30.3%,37.7%,79.3%,16.2%,4.5%,424
Iowa,Dickinson,23.6%,38.5%,83.1%,12.2%,4.7%,427
Iowa,Dubuque,31.8%,32.8%,75.9%,20.2%,3.8%,434
Iowa,Emmet,28.3%,39.6%,88.4%,10.1%,1.6%,437
Iowa,Fayette,28.5%,40.3%,87.6%,9.5%,2.8%,442
Iowa,Floyd,28.4%,40.6%,83.8%,13.3%,2.8%,447
Iowa,Franklin,28.0%,44.1%,87.4%,10.5%,2.1%,451
Iowa,Fremont,29.6%,41.8%,87.6%,5.1%,7.4%,455
Iowa,Greene,26.0%,44.0%,90.0%,8.2%,1.8%,458
Iowa,Grundy,27.9%,38.7%,88.5%,8.2%,3.4%,460
Iowa,Guthrie,30.2%,38.5%,89.5%,8.2%,2.3%,467
Iowa,Hamilton,30.0%,35.1%,85.1%,13.3%,1.7%,469
Iowa,Hancock,32.3%,39.1%,87.6%,6.9%,5.5%,470
Iowa,Hardin,27.6%,40.5%,84.6%,13.6%,1.8%,475
Iowa,Harrison,31.3%,37.9%,87.2%,9.1%,3.7%,478
Iowa,Henry,31.7%,34.5%,79.7%,14.7%,5.6%,479
Iowa,Howard,28.8%,34.4%,88.6%,6.8%,4.6%,481
Iowa,Humboldt,27.8%,38.8%,86.3%,12.3%,1.4%,487
Iowa,Ida,30.5%,39.7%,89.2%,9.6%,1.2%,491
Iowa,Iowa,33.1%,33.0%,83.8%,10.2%,6.0%,495
Iowa,Jackson,30.4%,38.8%,83.1%,11.1%,5.8%,499
Iowa,Jasper,29.7%,34.5%,81.0%,15.0%,4.0%,505
Iowa,Jefferson,25.6%,33.7%,75.8%,14.5%,9.7%,507
Iowa,Johnson,26.8%,21.3%,60.7%,34.3%,5.1%,508
Iowa,Jones,28.5%,37.1%,84.0%,9.6%,6.5%,516
Iowa,Keokuk,31.7%,38.3%,88.3%,5.7%,6.0%,520
Iowa,Kossuth,26.5%,43.6%,89.5%,9.0%,1.5%,523
Iowa,Lee,29.5%,37.9%,80.1%,13.9%,6.1%,531
Iowa,Linn,32.3%,29.0%,72.2%,23.2%,4.6%,535
Iowa,Louisa,34.3%,33.2%,82.9%,5.3%,11.8%,539
Iowa,Lucas,27.4%,40.9%,81.7%,11.5%,6.8%,542
Iowa,Lyon,34.2%,33.6%,93.5%,4.7%,1.9%,546
Iowa,Madison,37.1%,33.6%,87.3%,8.8%,4.0%,550
Iowa,Mahaska,32.1%,34.7%,80.8%,12.1%,7.1%,554
Iowa,Marion,33.5%,35.2%,81.9%,13.2%,4.9%,561
Iowa,Marshall,31.1%,36.0%,80.8%,16.2%,3.0%,568
Iowa,Mills,32.3%,36.0%,87.9%,6.9%,5.2%,569
Iowa,Mitchell,27.5%,42.3%,90.5%,7.4%,2.0%,572
Iowa,Monona,23.6%,46.4%,85.0%,10.1%,4.8%,576
Iowa,Monroe,32.3%,37.7%,83.3%,6.2%,10.5%,580
Iowa,Montgomery,29.6%,39.3%,87.0%,10.5%,2.5%,595
Iowa,Muscatine,35.6%,31.9%,78.5%,13.5%,8.0%,600
Iowa,O'Brien,27.2%,40.4%,87.2%,11.7%,1.0%,604
Iowa,Osceola,29.6%,38.9%,93.9%,4.4%,1.6%,607
Iowa,Page,27.9%,42.0%,87.2%,11.2%,1.6%,612
Iowa,Palo Alto,25.7%,38.2%,85.8%,13.0%,1.3%,618
Iowa,Plymouth,32.8%,37.2%,87.3%,9.4%,3.3%,622
Iowa,Pocahontas,24.6%,40.5%,91.1%,7.7%,1.2%,624
Iowa,Polk,34.5%,26.7%,74.4%,23.0%,2.6%,629
Iowa,Pottawattamie,32.4%,33.5%,78.6%,18.2%,3.3%,637
Iowa,Poweshiek,27.7%,39.1%,80.5%,15.3%,4.2%,640
Iowa,Ringgold,26.5%,45.5%,83.3%,7.8%,8.8%,642
Iowa,Sac,26.5%,42.6%,91.4%,6.4%,2.2%,647
Iowa,Scott,30.7%,30.5%,75.0%,22.0%,3.0%,657
Iowa,Shelby,28.8%,40.3%,87.5%,11.0%,1.6%,660
Iowa,Sioux,35.6%,34.2%,88.1%,9.6%,2.3%,663
Iowa,Story,23.9%,22.4%,58.0%,37.6%,4.4%,668
Iowa,Tama,32.5%,37.5%,89.2%,7.8%,3.0%,671
Iowa,Taylor,28.2%,42.3%,89.6%,6.7%,3.7%,674
Iowa,Union,28.1%,38.0%,81.9%,12.8%,5.3%,675
Iowa,Van Buren,28.7%,41.0%,84.8%,7.6%,7.6%,678
Iowa,Wapello,31.2%,35.6%,80.9%,12.7%,6.4%,681
Iowa,Warren,35.9%,30.9%,81.5%,13.8%,4.6%,685
Iowa,Washington,32.9%,38.8%,82.4%,12.3%,5.3%,687
Iowa,Wayne,24.1%,45.7%,83.8%,7.4%,8.8%,691
Iowa,Webster,29.9%,36.0%,78.3%,18.5%,3.3%,694
Iowa,Winnebago,27.4%,39.0%,83.1%,15.1%,1.8%,696
Iowa,Winneshiek,30.9%,37.0%,83.6%,13.2%,3.2%,698
Iowa,Woodbury,33.3%,30.9%,77.5%,17.9%,4.6%,702
Iowa,Worth,26.5%,36.7%,87.6%,8.9%,3.5%,703
Iowa,Wright,29.5%,41.8%,85.4%,13.5%,1.0%,705
Kansas,Allen,31.3%,38.0%,82.8%,7.6%,9.6%,709
Kansas,Anderson,33.9%,39.7%,88.0%,3.0%,9.0%,712
Kansas,Atchison,32.0%,34.5%,78.1%,14.7%,7.2%,715
Kansas,Barber,29.3%,39.8%,82.3%,9.2%,8.5%,717
Kansas,Barton,32.1%,36.8%,83.2%,7.8%,9.0%,719
Kansas,Bourbon,29.9%,38.5%,84.1%,8.7%,7.3%,722
Kansas,Brown,26.8%,41.7%,84.6%,12.5%,2.9%,723
Kansas,Butler,38.0%,30.4%,82.4%,8.4%,9.2%,726
Kansas,Chase,27.2%,50.1%,86.6%,4.3%,9.1%,729
Kansas,Chautauqua,29.2%,45.8%,88.7%,2.8%,8.4%,730
Kansas,Cherokee,33.5%,38.6%,80.4%,5.4%,14.2%,732
Kansas,Cheyenne,19.4%,49.6%,88.3%,5.2%,6.5%,736
Kansas,Clark,28.8%,42.2%,91.5%,3.1%,5.3%,738
Kansas,Clay,32.8%,40.7%,83.4%,10.9%,5.7%,739
Kansas,Cloud,26.3%,44.4%,88.5%,7.6%,3.9%,740
Kansas,Coffey,32.2%,34.0%,83.3%,5.2%,11.6%,745
Kansas,Comanche,20.8%,52.0%,90.3%,6.3%,3.5%,748
Kansas,Cowley,30.7%,37.9%,83.3%,8.6%,8.1%,752
Kansas,Crawford,26.9%,31.3%,81.3%,12.0%,6.7%,756
Kansas,Decatur,22.1%,47.2%,87.8%,8.0%,4.2%,759
Kansas,Dickinson,30.6%,39.1%,84.7%,8.5%,6.9%,762
Kansas,Doniphan,29.3%,40.5%,80.3%,7.0%,12.6%,765
Kansas,Douglas,27.0%,22.6%,66.3%,31.0%,2.8%,767
Kansas,Edwards,35.8%,38.7%,89.3%,7.8%,2.9%,770
Kansas,Elk,26.3%,41.0%,84.6%,8.9%,6.6%,773
Kansas,Ellis,24.5%,29.1%,71.7%,22.9%,5.4%,774
Kansas,Ellsworth,22.0%,43.7%,89.7%,6.4%,3.9%,776
Kansas,Finney,46.5%,25.6%,74.0%,15.8%,10.2%,778
Kansas,Ford,43.1%,26.2%,69.8%,17.9%,12.4%,784
Kansas,Franklin,34.2%,31.7%,80.0%,9.3%,10.7%,786
Kansas,Geary,40.8%,23.0%,63.5%,26.3%,10.2%,788
Kansas,Gove,27.7%,46.5%,89.7%,5.0%,5.3%,790
Kansas,Graham,20.8%,47.2%,90.0%,6.3%,3.7%,791
Kansas,Grant,42.2%,30.1%,72.9%,5.8%,21.3%,794
Kansas,Gray,39.1%,32.8%,83.0%,3.2%,13.8%,798
Kansas,Greeley,32.3%,38.7%,92.7%,1.0%,6.3%,801
Kansas,Greenwood,24.6%,42.4%,88.1%,4.0%,7.9%,803
Kansas,Hamilton,49.0%,23.2%,79.2%,8.3%,12.5%,805
Kansas,Harper,28.8%,39.7%,83.9%,8.3%,7.9%,807
Kansas,Harvey,30.3%,35.8%,82.0%,12.7%,5.4%,812
Kansas,Haskell,40.5%,31.9%,80.2%,3.8%,15.9%,815
Kansas,Hodgeman,32.9%,46.1%,85.4%,7.5%,7.1%,818
Kansas,Jackson,38.0%,36.8%,85.1%,6.4%,8.5%,819
Kansas,Jefferson,35.1%,34.6%,86.4%,4.3%,9.3%,821
Kansas,Jewell,19.8%,51.5%,91.1%,5.6%,3.3%,822
Kansas,Johnson,36.2%,26.4%,78.3%,21.0%,0.7%,824
Kansas,Kearny,44.6%,28.6%,70.6%,5.7%,23.8%,826
Kansas,Kingman,29.3%,39.0%,93.2%,2.7%,4.1%,827
Kansas,Kiowa,30.4%,43.0%,84.4%,8.5%,7.1%,829
Kansas,Labette,31.4%,36.1%,84.4%,9.0%,6.6%,831
Kansas,Lane,26.6%,42.7%,86.0%,4.9%,9.1%,833
Kansas,Leavenworth,37.6%,31.1%,84.6%,12.8%,2.6%,836
Kansas,Lincoln,26.2%,37.5%,90.0%,5.5%,4.5%,838
Kansas,Linn,33.1%,41.5%,79.8%,3.6%,16.6%,840
Kansas,Logan,25.0%,41.1%,85.4%,7.4%,7.2%,842
Kansas,Lyon,29.3%,29.0%,69.5%,21.2%,9.2%,844
Kansas,McPherson,32.2%,36.1%,84.1%,9.8%,6.0%,846
Kansas,Marion,31.3%,41.7%,87.6%,7.9%,4.5%,848
Kansas,Marshall,29.6%,40.4%,89.6%,6.6%,3.8%,850
Kansas,Meade,35.2%,36.6%,91.0%,4.0%,5.0%,851
Kansas,Miami,38.7%,30.8%,85.6%,8.7%,5.6%,853
Kansas,Mitchell,23.4%,43.6%,89.8%,8.4%,1.9%,854
Kansas,Montgomery,30.1%,37.3%,80.1%,12.1%,7.8%,856
Kansas,Morris,25.6%,42.2%,82.0%,8.7%,9.3%,858
Kansas,Morton,39.2%,32.6%,86.5%,4.3%,9.2%,859
Kansas,Nemaha,31.8%,34.3%,87.9%,9.1%,3.0%,861
Kansas,Neosho,30.1%,43.3%,86.3%,6.5%,7.2%,862
Kansas,Ness,24.3%,42.4%,91.7%,3.4%,4.9%,864
Kansas,Norton,25.8%,40.3%,86.2%,10.2%,3.6%,866
Kansas,Osage,33.7%,36.4%,83.7%,6.8%,9.6%,867
Kansas,Osborne,29.0%,47.3%,90.0%,6.1%,3.9%,869
Kansas,Ottawa,32.2%,38.9%,86.0%,7.7%,6.4%,870
Kansas,Pawnee,32.1%,40.4%,89.1%,6.2%,4.7%,872
Kansas,Phillips,27.0%,38.8%,87.4%,4.3%,8.3%,873
Kansas,Pottawatomie,36.9%,32.2%,81.3%,6.7%,12.0%,876
Kansas,Pratt,28.9%,35.2%,87.0%,7.0%,6.0%,878
Kansas,Rawlins,19.5%,49.8%,90.8%,5.1%,4.1%,880
Kansas,Reno,30.3%,37.5%,82.9%,12.7%,4.4%,882
Kansas,Republic,23.9%,46.3%,91.3%,5.9%,2.8%,884
Kansas,Rice,30.8%,40.1%,90.1%,5.4%,4.5%,886
Kansas,Riley,27.6%,19.1%,54.9%,37.4%,7.7%,888
Kansas,Rooks,27.7%,38.4%,90.7%,4.8%,4.5%,889
Kansas,Rush,23.2%,46.6%,90.8%,3.9%,5.3%,891
Kansas,Russell,26.2%,45.2%,85.2%,11.4%,3.4%,893
Kansas,Saline,32.2%,33.9%,79.8%,15.7%,4.4%,895
Kansas,Scott,31.4%,35.4%,88.3%,4.6%,7.1%,897
Kansas,Sedgwick,35.3%,28.6%,77.0%,19.2%,3.9%,898
Kansas,Seward,47.8%,24.4%,69.2%,15.5%,15.3%,900
Kansas,Shawnee,32.2%,32.5%,76.4%,20.2%,3.4%,902
Kansas,Sheridan,30.1%,42.0%,91.8%,4.3%,4.0%,904
Kansas,Sherman,26.4%,43.7%,87.1%,7.9%,5.0%,907
Kansas,Smith,26.4%,49.6%,92.5%,4.5%,3.0%,909
Kansas,Stafford,26.2%,41.4%,90.6%,4.5%,4.8%,911
Kansas,Stanton,39.9%,40.9%,79.1%,2.2%,18.7%,913
Kansas,Stevens,48.5%,28.4%,74.2%,6.7%,19.1%,914
Kansas,Sumner,32.5%,35.5%,86.6%,6.6%,6.7%,916
Kansas,Thomas,27.8%,30.3%,72.5%,16.9%,10.6%,917
Kansas,Trego,19.6%,49.6%,89.7%,7.6%,2.7%,919
Kansas,Wabaunsee,29.4%,35.3%,90.1%,3.2%,6.7%,920
Kansas,Wallace,24.8%,44.9%,91.6%,0.5%,7.9%,921
Kansas,Washington,23.9%,46.8%,91.0%,6.4%,2.6%,922
Kansas,Wichita,33.1%,33.8%,83.8%,6.4%,9.8%,923
Kansas,Wilson,30.2%,38.7%,83.0%,8.1%,8.9%,925
Kansas,Woodson,25.0%,46.6%,80.4%,7.1%,12.5%,926
Kansas,Wyandotte,35.8%,30.0%,78.9%,18.5%,2.6%,927
Kentucky,Adair,31.1%,38.5%,73.1%,7.0%,20.0%,928
Kentucky,Allen,34.1%,35.2%,72.2%,7.4%,20.5%,929
Kentucky,Anderson,37.7%,28.5%,82.3%,11.0%,6.7%,930
Kentucky,Ballard,31.6%,38.1%,78.3%,6.5%,15.3%,932
Kentucky,Barren,33.3%,35.9%,72.7%,12.3%,15.0%,933
Kentucky,Bath,39.8%,33.4%,65.0%,6.1%,28.9%,934
Kentucky,Bell,31.7%,37.5%,66.7%,14.3%,19.0%,936
Kentucky,Boone,40.2%,24.9%,75.4%,20.0%,4.7%,1002
Kentucky,Bourbon,35.1%,32.9%,78.8%,14.9%,6.4%,1005
Kentucky,Boyd,30.1%,40.3%,75.0%,13.5%,11.5%,1008
Kentucky,Boyle,32.9%,39.9%,76.5%,16.5%,7.0%,1010
Kentucky,Bracken,33.0%,33.7%,70.9%,6.8%,22.3%,1013
Kentucky,Breathitt,25.2%,36.3%,59.0%,5.8%,35.2%,1017
Kentucky,Breckinridge,29.0%,41.7%,71.9%,6.2%,21.9%,1020
Kentucky,Bullitt,38.8%,29.3%,81.8%,9.2%,8.9%,1024
Kentucky,Butler,31.1%,33.9%,70.4%,6.7%,22.9%,1026
Kentucky,Caldwell,23.9%,42.9%,84.0%,5.6%,10.4%,1031
Kentucky,Calloway,26.9%,34.2%,67.5%,19.5%,13.0%,1033
Kentucky,Campbell,31.3%,31.1%,71.1%,26.4%,2.5%,1035
Kentucky,Carlisle,35.6%,44.6%,78.7%,4.2%,17.2%,1039
Kentucky,Carroll,34.7%,32.2%,66.6%,15.7%,17.7%,1041
Kentucky,Carter,30.2%,38.7%,65.5%,5.4%,29.0%,1044
Kentucky,Casey,29.2%,42.7%,73.9%,2.4%,23.7%,1048
Kentucky,Christian,42.5%,27.1%,70.6%,20.7%,8.7%,1050
Kentucky,Clark,34.9%,33.9%,71.5%,18.9%,9.6%,1053
Kentucky,Clay,29.7%,41.1%,62.4%,5.4%,32.2%,1056
Kentucky,Clinton,33.0%,39.4%,68.5%,9.8%,21.7%,1059
Kentucky,Crittenden,29.6%,41.7%,76.9%,5.9%,17.2%,1064
Kentucky,Cumberland,28.8%,42.0%,72.9%,8.1%,19.0%,1067
Kentucky,Daviess,32.4%,35.3%,76.7%,17.4%,5.9%,1071
Kentucky,Edmonson,31.9%,38.5%,66.0%,4.1%,29.9%,1073
Kentucky,Elliott,30.7%,38.0%,63.7%,6.8%,29.5%,1075
Kentucky,Estill,33.0%,37.1%,69.6%,6.4%,24.0%,1077
Kentucky,Fayette,29.7%,24.7%,67.2%,31.6%,1.3%,1080
Kentucky,Fleming,33.6%,33.3%,67.5%,4.9%,27.6%,1083
Kentucky,Floyd,31.7%,35.5%,64.7%,9.1%,26.2%,1085
Kentucky,Franklin,30.2%,32.4%,72.3%,23.0%,4.7%,1086
Kentucky,Fulton,34.0%,39.0%,76.2%,17.2%,6.6%,1088
Kentucky,Gallatin,33.7%,33.7%,52.5%,11.7%,35.8%,1090
Kentucky,Garrard,34.7%,34.9%,81.3%,7.8%,10.9%,1092
Kentucky,Grant,44.1%,30.3%,63.4%,15.8%,20.8%,1094
Kentucky,Graves,32.5%,38.1%,77.8%,8.8%,13.4%,1097
Kentucky,Grayson,33.1%,37.0%,71.0%,8.7%,20.3%,1100
Kentucky,Green,31.5%,39.0%,75.4%,5.4%,19.1%,1102
Kentucky,Greenup,30.9%,38.5%,78.7%,5.7%,15.7%,1105
Kentucky,Hancock,34.9%,36.0%,69.3%,7.2%,23.4%,1107
Kentucky,Hardin,38.1%,28.6%,71.7%,17.4%,10.9%,1110
Kentucky,Harlan,32.6%,40.5%,70.8%,7.6%,21.7%,1114
Kentucky,Harrison,33.5%,35.8%,71.0%,14.6%,14.4%,1119
Kentucky,Hart,36.8%,34.7%,73.1%,8.4%,18.4%,1121
Kentucky,Henderson,32.7%,33.2%,72.2%,17.3%,10.5%,1126
Kentucky,Henry,36.1%,34.7%,77.3%,6.8%,16.0%,1129
Kentucky,Hickman,27.3%,44.6%,81.9%,5.2%,13.0%,1130
Kentucky,Hopkins,32.3%,35.2%,74.3%,10.0%,15.7%,1136
Kentucky,Jackson,31.3%,33.9%,68.2%,6.8%,25.0%,1140
Kentucky,Jefferson,30.9%,31.5%,71.9%,26.8%,1.3%,1143
Kentucky,Jessamine,40.5%,27.5%,80.7%,13.9%,5.4%,1145
Kentucky,Johnson,35.4%,37.6%,64.1%,10.9%,25.1%,1148
Kentucky,Kenton,33.7%,27.5%,73.5%,24.0%,2.6%,1151
Kentucky,Knott,32.0%,38.1%,65.8%,3.1%,31.1%,1154
Kentucky,Knox,32.4%,35.1%,55.9%,11.2%,32.9%,1159
Kentucky,Larue,30.8%,34.3%,77.7%,8.2%,14.1%,1162
Kentucky,Laurel,36.4%,32.4%,66.2%,9.6%,24.2%,1166
Kentucky,Lawrence,31.3%,36.8%,64.9%,4.8%,30.3%,1167
Kentucky,Lee,29.2%,35.2%,64.0%,8.9%,27.1%,1171
Kentucky,Leslie,28.9%,35.0%,66.9%,3.0%,30.1%,1175
Kentucky,Letcher,29.5%,38.0%,66.1%,4.7%,29.2%,1178
Kentucky,Lewis,31.2%,39.1%,69.0%,5.5%,25.5%,1180
Kentucky,Lincoln,35.5%,35.0%,74.1%,6.2%,19.7%,1184
Kentucky,Livingston,26.4%,41.9%,75.7%,1.9%,22.5%,1187
Kentucky,Logan,33.7%,37.5%,78.2%,9.2%,12.6%,1190
Kentucky,Lyon,23.2%,50.0%,64.5%,13.2%,22.3%,1193
Kentucky,McCracken,31.3%,36.8%,73.5%,17.0%,9.5%,1196
Kentucky,McCreary,33.6%,35.3%,72.0%,7.8%,20.2%,1198
Kentucky,McLean,34.8%,35.9%,70.4%,5.3%,24.3%,1201
Kentucky,Madison,31.9%,28.8%,64.3%,25.5%,10.2%,1204
Kentucky,Magoffin,32.8%,37.0%,52.4%,4.3%,43.3%,1206
Kentucky,Marion,31.2%,36.4%,83.0%,5.8%,11.2%,1210
Kentucky,Marshall,28.8%,42.3%,73.1%,6.9%,20.0%,1213
Kentucky,Martin,31.2%,33.6%,60.7%,7.6%,31.7%,1215
Kentucky,Mason,37.8%,33.0%,76.4%,14.1%,9.5%,1217
Kentucky,Meade,38.3%,30.9%,65.0%,13.4%,21.6%,1220
Kentucky,Menifee,29.0%,41.8%,60.8%,6.0%,33.2%,1222
Kentucky,Mercer,30.2%,36.6%,83.1%,11.2%,5.7%,1225
Kentucky,Metcalfe,31.0%,37.8%,71.3%,3.9%,24.8%,1228
Kentucky,Monroe,28.8%,39.0%,74.6%,8.3%,17.1%,1230
Kentucky,Montgomery,35.1%,30.6%,70.9%,12.3%,16.8%,1233
Kentucky,Morgan,30.4%,38.5%,64.6%,8.4%,27.1%,1235
Kentucky,Muhlenberg,30.9%,38.6%,75.4%,6.8%,17.8%,1238
Kentucky,Nelson,37.3%,26.2%,81.4%,9.1%,9.4%,1243
Kentucky,Nicholas,36.7%,36.0%,69.2%,8.4%,22.4%,1246
Kentucky,Ohio,32.1%,38.7%,73.6%,7.2%,19.1%,1249
Kentucky,Oldham,46.2%,28.1%,89.4%,7.6%,3.0%,1252
Kentucky,Owen,34.8%,32.6%,71.6%,7.6%,20.8%,1255
Kentucky,Owsley,34.9%,49.7%,67.6%,5.4%,27.0%,1257
Kentucky,Pendleton,35.8%,35.0%,69.1%,7.7%,23.2%,1260
Kentucky,Perry,33.4%,34.3%,58.3%,9.4%,32.2%,1265
Kentucky,Pike,33.3%,34.2%,55.7%,8.2%,36.0%,1267
Kentucky,Powell,42.1%,28.8%,68.0%,8.6%,23.3%,1270
Kentucky,Pulaski,31.5%,37.2%,71.7%,10.1%,18.2%,1272
Kentucky,Robertson,29.1%,39.4%,70.5%,8.6%,20.9%,1273
Kentucky,Rockcastle,34.9%,38.6%,72.3%,5.2%,22.5%,1276
Kentucky,Rowan,33.2%,31.0%,62.9%,10.2%,26.9%,1279
Kentucky,Russell,28.4%,42.3%,73.3%,5.0%,21.7%,1282
Kentucky,Scott,41.8%,24.6%,77.7%,15.8%,6.5%,1283
Kentucky,Shelby,35.4%,30.8%,83.6%,13.1%,3.3%,1285
Kentucky,Simpson,35.5%,38.3%,83.4%,10.8%,5.8%,1287
Kentucky,Spencer,37.4%,28.7%,81.0%,5.6%,13.4%,1000
Kentucky,Taylor,32.9%,36.6%,78.3%,13.4%,8.2%,1003
Kentucky,Todd,40.1%,34.8%,77.2%,5.5%,17.3%,1006
Kentucky,Trigg,28.6%,37.3%,76.6%,7.4%,16.0%,1009
Kentucky,Trimble,35.3%,31.3%,65.7%,7.1%,27.2%,1012
Kentucky,Union,36.9%,35.8%,79.4%,6.5%,14.1%,1016
Kentucky,Warren,32.0%,26.9%,68.6%,23.9%,7.4%,1019
Kentucky,Washington,37.9%,35.4%,83.1%,4.8%,12.1%,1023
Kentucky,Wayne,33.9%,37.7%,67.9%,10.6%,21.5%,1027
Kentucky,Webster,31.1%,37.3%,74.9%,6.1%,18.9%,1029
Kentucky,Whitley,34.2%,36.5%,62.5%,8.2%,29.3%,1034
Kentucky,Wolfe,29.9%,38.1%,53.5%,7.7%,38.7%,1037
Kentucky,Woodford,33.1%,31.2%,86.7%,10.8%,2.5%,1042
Louisiana,Acadia,37.1%,33.3%,75.7%,6.3%,18.0%,1046
Louisiana,Allen,39.9%,33.5%,73.2%,8.5%,18.3%,1051
Louisiana,Ascension,43.0%,24.3%,75.8%,5.4%,18.9%,1055
Louisiana,Assumption,35.7%,36.0%,67.7%,3.1%,29.1%,1060
Louisiana,Avoyelles,38.0%,34.8%,74.9%,9.0%,16.2%,1062
Louisiana,Beauregard,38.8%,33.4%,64.4%,6.9%,28.7%,1066
Louisiana,Bienville,28.4%,41.0%,65.6%,9.2%,25.2%,1069
Louisiana,Bossier,36.1%,29.3%,68.5%,16.0%,15.5%,1076
Louisiana,Caddo,32.0%,33.6%,71.8%,19.1%,9.1%,1079
