County,State,Year Structure Built: 2000+,Year Structure Built: 1990 to 1999,Year Structure Built: 1980 to 1989,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,FID
Missouri,Moniteau,10.0%,17.5%,11.8%,28.8%,14.1%,17.8%,4.6%,25.4%,42.9%,27.1%,1135
Missouri,Monroe,8.5%,14.9%,12.9%,28.0%,11.4%,24.3%,5.9%,28.6%,42.1%,23.5%,1139
Missouri,Montgomery,10.1%,15.6%,12.6%,28.5%,15.6%,17.6%,3.4%,28.3%,38.2%,30.1%,1142
Missouri,Morgan,9.1%,20.2%,15.9%,33.2%,11.4%,10.2%,8.9%,28.6%,39.8%,22.8%,1146
Missouri,New Madrid,9.0%,11.5%,10.5%,41.6%,16.9%,10.4%,10.4%,38.8%,34.6%,16.3%,1149
Missouri,Newton,12.9%,18.3%,14.8%,27.4%,14.7%,11.9%,4.5%,28.6%,40.7%,26.3%,1152
Missouri,Nodaway,10.6%,15.4%,9.5%,25.5%,12.7%,26.2%,6.3%,29.0%,39.1%,25.6%,1156
Missouri,Oregon,6.5%,17.9%,8.3%,32.6%,18.7%,16.0%,6.4%,32.9%,36.4%,24.3%,1158
Missouri,Osage,8.5%,16.0%,13.7%,27.6%,14.8%,19.5%,3.1%,25.3%,30.9%,40.7%,1164
Missouri,Ozark,7.8%,21.3%,16.9%,28.1%,17.4%,8.6%,4.4%,23.3%,43.6%,28.7%,1168
Missouri,Pemiscot,6.2%,11.7%,10.1%,38.6%,22.9%,10.5%,14.2%,38.1%,31.1%,16.6%,1170
Missouri,Perry,11.7%,15.7%,13.4%,27.7%,18.5%,13.0%,4.0%,27.7%,37.5%,30.8%,1172
Missouri,Pettis,9.0%,12.1%,8.4%,30.0%,22.2%,18.2%,5.9%,34.3%,37.8%,21.9%,1174
Missouri,Phelps,14.8%,18.0%,15.4%,29.3%,13.8%,8.7%,6.3%,31.7%,38.4%,23.6%,1176
Missouri,Pike,13.1%,12.3%,9.6%,30.1%,13.8%,21.2%,6.9%,28.9%,41.1%,23.1%,1179
Missouri,Platte,18.6%,22.4%,18.3%,27.9%,7.7%,5.0%,3.4%,30.7%,42.5%,23.5%,1181
Missouri,Polk,18.3%,20.7%,14.0%,25.0%,9.6%,12.5%,5.8%,30.7%,35.7%,27.7%,1183
Missouri,Pulaski,23.0%,18.7%,15.8%,22.9%,14.7%,4.9%,6.8%,32.5%,40.0%,20.7%,1185
Missouri,Putnam,13.3%,13.8%,5.3%,29.8%,12.1%,25.8%,6.2%,26.2%,41.8%,25.9%,1188
Missouri,Ralls,9.4%,19.7%,11.8%,28.9%,9.0%,21.3%,5.2%,22.3%,40.8%,31.6%,1191
Missouri,Randolph,10.6%,8.9%,12.8%,30.0%,14.6%,23.2%,6.4%,33.9%,41.2%,18.5%,1194
Missouri,Ray,13.0%,12.6%,11.8%,35.9%,12.1%,14.6%,5.0%,25.1%,38.0%,32.0%,1197
Missouri,Reynolds,6.7%,12.7%,14.2%,45.1%,9.9%,11.4%,7.9%,26.8%,37.0%,28.4%,1200
Missouri,Ripley,5.5%,16.1%,18.8%,33.9%,13.6%,12.1%,5.7%,35.1%,34.8%,24.4%,1203
Missouri,St. Charles,25.1%,24.4%,20.2%,22.6%,5.4%,2.4%,3.2%,25.9%,46.7%,24.1%,1205
Missouri,St. Clair,7.7%,17.4%,13.7%,29.6%,12.4%,19.3%,6.0%,25.2%,35.3%,33.5%,1208
Missouri,Ste. Genevieve,11.2%,13.3%,16.1%,32.0%,15.2%,12.2%,4.1%,24.9%,37.0%,34.0%,1209
Missouri,St. Francois,15.0%,17.9%,13.8%,24.1%,15.2%,13.9%,5.8%,31.6%,40.2%,22.4%,1212
Missouri,St. Louis County,5.3%,9.4%,12.1%,36.6%,26.7%,9.9%,6.3%,35.9%,40.0%,17.8%,1216
Missouri,Saline,4.9%,7.7%,10.8%,29.1%,23.2%,24.4%,5.9%,34.7%,38.7%,20.7%,1218
Missouri,Schuyler,4.9%,11.4%,8.0%,31.2%,17.2%,27.4%,7.8%,33.6%,36.6%,22.0%,1221
Missouri,Scotland,9.4%,10.1%,12.5%,29.3%,8.8%,29.8%,8.3%,23.7%,36.7%,31.4%,1224
Missouri,Scott,7.8%,15.8%,13.1%,35.0%,17.5%,10.8%,9.9%,31.9%,37.0%,21.1%,1227
Missouri,Shannon,8.7%,14.8%,12.5%,33.4%,14.4%,16.1%,5.4%,26.5%,37.6%,30.4%,1229
Missouri,Shelby,8.1%,9.4%,8.8%,36.4%,14.1%,23.2%,5.5%,33.4%,37.7%,23.5%,1232
Missouri,Stoddard,9.1%,12.3%,11.7%,39.8%,18.2%,9.0%,6.2%,32.3%,41.2%,20.3%,1236
Missouri,Stone,10.4%,30.9%,16.9%,28.7%,6.0%,7.2%,3.3%,30.9%,47.7%,18.1%,1237
Missouri,Sullivan,5.4%,14.4%,11.3%,29.6%,14.3%,25.1%,7.0%,30.6%,37.4%,25.0%,1240
Missouri,Taney,20.2%,30.8%,17.2%,22.9%,5.8%,3.1%,3.7%,37.0%,41.9%,17.5%,1242
Missouri,Texas,9.7%,16.0%,15.8%,32.7%,13.9%,11.9%,5.8%,27.5%,39.0%,27.8%,1245
Missouri,Vernon,7.5%,14.3%,15.4%,24.7%,13.7%,24.4%,8.2%,29.8%,36.3%,25.7%,1248
Missouri,Warren,30.2%,19.7%,14.7%,21.8%,7.9%,5.7%,4.7%,26.6%,37.6%,31.1%,1251
Missouri,Washington,10.5%,20.7%,20.6%,28.8%,12.7%,6.8%,5.7%,28.5%,37.2%,28.5%,1253
Missouri,Wayne,8.8%,17.6%,15.9%,32.4%,17.0%,8.3%,6.6%,34.8%,36.8%,21.9%,1256
Missouri,Webster,21.8%,20.9%,12.9%,24.7%,9.1%,10.6%,7.0%,26.2%,40.2%,26.6%,1258
Missouri,Worth,3.1%,5.8%,7.0%,24.8%,12.8%,46.6%,3.4%,19.5%,45.1%,31.9%,1261
Missouri,Wright,8.2%,14.9%,15.5%,32.1%,14.4%,14.8%,6.3%,33.0%,36.8%,23.9%,1263
Missouri,St. Louis City,3.7%,3.0%,3.9%,11.1%,22.5%,55.8%,21.3%,45.8%,25.3%,7.6%,1266
Montana,Beaverhead,7.6%,19.2%,11.7%,30.8%,10.2%,20.6%,3.0%,26.6%,40.3%,30.1%,1269
Montana,Big Horn,5.2%,8.6%,14.6%,38.2%,17.4%,15.9%,4.5%,35.2%,36.1%,24.1%,1274
Montana,Blaine,1.8%,11.1%,12.9%,33.8%,18.9%,21.6%,8.3%,32.8%,31.6%,27.3%,1124
Montana,Broadwater,12.3%,25.1%,7.3%,28.8%,7.7%,18.8%,3.7%,23.3%,35.4%,37.6%,1132
Montana,Carbon,6.9%,18.0%,10.8%,23.8%,9.5%,31.1%,4.8%,20.9%,31.8%,42.5%,1137
Montana,Carter,5.3%,8.1%,14.0%,27.9%,18.3%,26.4%,2.1%,17.8%,26.9%,53.3%,1141
Montana,Cascade,8.7%,10.1%,8.5%,31.9%,23.4%,17.4%,6.8%,28.4%,37.1%,27.7%,1144
Montana,Chouteau,3.7%,12.0%,8.0%,23.6%,27.4%,25.2%,2.1%,25.4%,38.8%,33.7%,1150
Montana,Custer,4.1%,5.4%,5.0%,40.2%,23.4%,21.9%,6.8%,28.2%,34.8%,30.2%,1153
Montana,Daniels,7.0%,4.9%,14.9%,25.7%,18.8%,28.7%,4.0%,21.7%,38.4%,35.8%,1157
Montana,Dawson,2.9%,2.5%,17.1%,27.5%,30.3%,19.7%,4.4%,22.0%,41.5%,32.0%,1160
Montana,Deer Lodge,3.9%,6.6%,3.5%,17.2%,26.9%,41.9%,7.5%,27.9%,28.7%,36.0%,1163
Montana,Fallon,4.5%,9.8%,13.2%,30.3%,22.6%,19.5%,2.0%,24.1%,30.9%,42.9%,1165
Montana,Fergus,3.8%,8.8%,11.6%,21.3%,17.7%,36.9%,5.0%,30.1%,33.0%,32.0%,1169
Montana,Flathead,18.4%,19.5%,14.2%,27.2%,13.1%,7.5%,4.1%,23.8%,40.4%,31.7%,1173
Montana,Gallatin,25.8%,21.0%,12.6%,23.5%,6.8%,10.3%,3.8%,27.5%,41.3%,27.3%,1177
Montana,Garfield,3.6%,14.2%,11.9%,28.7%,15.0%,26.7%,3.2%,22.7%,33.6%,40.5%,1182
Montana,Glacier,1.1%,15.4%,15.9%,34.5%,20.2%,13.1%,9.8%,32.9%,37.0%,20.3%,1186
Montana,Golden Valley,8.4%,8.7%,8.4%,29.9%,12.9%,31.7%,0.3%,25.7%,36.5%,37.4%,1189
Montana,Granite,10.9%,13.7%,9.9%,24.3%,15.0%,26.3%,5.1%,28.4%,32.0%,34.6%,1192
Montana,Hill,4.2%,8.5%,9.8%,37.1%,23.5%,16.9%,6.5%,27.6%,37.1%,28.8%,1195
Montana,Jefferson,8.5%,26.0%,16.6%,33.1%,5.6%,10.2%,3.0%,15.6%,36.7%,44.8%,1199
Montana,Judith Basin,3.5%,8.4%,10.6%,23.5%,22.7%,31.3%,3.8%,19.3%,36.9%,40.0%,1202
Montana,Lake,12.3%,20.8%,12.9%,30.5%,9.3%,14.1%,4.6%,27.1%,38.6%,29.8%,1207
Montana,Lewis and Clark,14.8%,15.0%,11.0%,30.2%,11.9%,17.0%,5.1%,28.9%,38.2%,27.8%,1211
Montana,Liberty,1.2%,16.2%,16.2%,30.9%,18.0%,17.5%,21.4%,28.9%,25.1%,24.5%,1214
Montana,Lincoln,8.4%,14.9%,16.4%,32.9%,13.2%,14.2%,3.4%,27.2%,40.6%,28.8%,1219
Montana,McCone,2.6%,6.1%,12.5%,34.1%,22.3%,22.3%,1.3%,20.9%,35.7%,42.1%,1223
Montana,Madison,11.1%,21.7%,11.1%,27.4%,9.7%,19.0%,2.4%,25.8%,41.0%,30.8%,1226
Montana,Meagher,7.8%,10.4%,11.2%,27.2%,15.9%,27.4%,4.4%,27.4%,37.3%,30.9%,1231
Montana,Mineral,5.9%,16.8%,11.6%,35.9%,22.0%,7.8%,3.2%,18.5%,37.9%,40.5%,1234
Montana,Missoula,16.4%,18.2%,10.4%,30.5%,13.0%,11.5%,5.9%,32.0%,39.0%,23.0%,1239
Montana,Musselshell,8.1%,15.0%,10.5%,22.6%,13.9%,30.0%,3.8%,22.5%,35.0%,38.7%,1241
Montana,Park,6.2%,15.4%,11.0%,25.5%,16.1%,25.9%,5.5%,26.8%,37.1%,30.6%,1244
Montana,Petroleum,4.9%,23.7%,7.1%,20.1%,12.4%,31.8%,1.4%,26.9%,35.7%,36.0%,1247
Montana,Phillips,4.6%,6.6%,20.8%,27.4%,23.3%,17.3%,2.2%,28.5%,32.7%,36.7%,1250
Montana,Pondera,3.5%,9.7%,10.7%,27.7%,26.0%,22.4%,9.2%,22.5%,29.7%,38.5%,1254
Montana,Powder River,6.7%,9.0%,17.6%,27.8%,24.9%,14.1%,1.9%,21.4%,34.7%,42.0%,1259
Montana,Powell,5.6%,11.8%,5.4%,30.4%,20.6%,26.2%,4.8%,23.0%,37.1%,35.1%,1262
Montana,Prairie,6.4%,6.4%,7.6%,21.9%,30.0%,27.6%,3.2%,27.2%,25.4%,44.3%,1264
Montana,Ravalli,14.9%,24.9%,14.6%,24.7%,9.8%,11.0%,2.5%,23.3%,38.7%,35.5%,1268
Montana,Richland,3.0%,8.5%,17.2%,31.1%,26.1%,14.1%,4.4%,20.1%,36.7%,38.7%,1271
Montana,Roosevelt,2.1%,5.6%,12.6%,32.5%,33.2%,14.0%,7.0%,34.4%,34.2%,24.4%,1275
Montana,Rosebud,2.6%,9.8%,23.4%,39.6%,10.4%,14.1%,5.2%,22.5%,34.2%,38.0%,1277
Montana,Sanders,9.3%,16.8%,18.0%,27.5%,12.8%,15.7%,4.3%,26.6%,35.4%,33.7%,1278
Montana,Sheridan,2.4%,6.8%,11.5%,29.7%,25.0%,24.5%,6.1%,26.7%,32.1%,35.1%,1281
Montana,Silver Bow,4.3%,9.5%,6.1%,20.7%,19.8%,39.5%,9.4%,30.6%,35.7%,24.3%,1284
Montana,Stillwater,12.2%,16.3%,14.4%,22.0%,16.0%,19.1%,1.3%,18.3%,34.3%,46.1%,1286
Montana,Sweet Grass,4.1%,14.8%,14.8%,25.0%,13.4%,27.9%,0.6%,25.8%,36.5%,37.2%,1288
Montana,Teton,4.9%,11.3%,7.0%,27.3%,31.1%,18.4%,4.6%,23.0%,32.7%,39.7%,1290
Montana,Toole,2.0%,8.2%,14.5%,23.2%,30.8%,21.3%,8.4%,33.3%,28.5%,29.8%,1292
Montana,Treasure,0.6%,10.0%,17.2%,21.3%,19.1%,31.7%,5.3%,22.9%,30.7%,41.1%,1293
Montana,Valley,3.6%,2.8%,7.0%,37.5%,30.3%,18.8%,3.0%,33.2%,31.5%,32.2%,1296
Montana,Wheatland,1.1%,15.5%,6.5%,14.7%,27.9%,34.3%,10.8%,29.5%,28.1%,31.6%,1298
Montana,Wibaux,3.1%,6.4%,9.0%,34.4%,23.7%,23.4%,1.8%,19.3%,30.3%,48.6%,1300
Montana,Yellowstone,11.9%,12.3%,14.9%,31.5%,20.6%,8.8%,5.1%,28.9%,39.9%,26.1%,1302
Nebraska,Adams,5.7%,9.1%,6.5%,29.0%,25.9%,23.8%,5.7%,27.2%,41.2%,25.9%,1303
Nebraska,Antelope,2.5%,5.9%,6.6%,22.9%,16.5%,45.6%,4.4%,25.0%,35.6%,35.0%,1305
Nebraska,Arthur,5.1%,3.9%,2.8%,35.4%,23.6%,29.2%,0.0%,14.6%,28.1%,57.3%,1307
Nebraska,Banner,4.4%,12.2%,10.3%,12.5%,21.6%,39.1%,7.2%,28.8%,28.1%,35.9%,1308
Nebraska,Blaine,0.0%,7.0%,6.6%,19.0%,14.5%,52.9%,0.0%,21.5%,33.9%,44.6%,1309
Nebraska,Boone,3.3%,4.7%,5.3%,23.3%,15.4%,48.0%,4.3%,18.1%,41.1%,36.5%,1310
Nebraska,Box Butte,2.9%,5.7%,10.3%,33.7%,20.3%,27.0%,4.8%,27.8%,38.3%,29.0%,1315
Nebraska,Boyd,3.0%,1.9%,4.9%,22.4%,21.2%,46.5%,2.9%,23.5%,35.7%,37.9%,1317
Nebraska,Brown,3.1%,7.8%,6.8%,33.1%,17.5%,31.8%,6.5%,30.1%,37.9%,25.4%,1319
Nebraska,Buffalo,12.4%,15.2%,12.5%,26.6%,13.9%,19.4%,4.3%,26.8%,39.3%,29.6%,1321
Nebraska,Burt,3.8%,7.2%,6.1%,23.6%,13.2%,46.2%,4.4%,24.2%,40.7%,30.8%,1323
Nebraska,Butler,6.1%,8.9%,7.6%,24.3%,15.4%,37.7%,2.5%,24.0%,35.7%,37.8%,1325
Nebraska,Cass,10.4%,15.7%,11.6%,23.9%,10.6%,27.8%,3.5%,20.4%,39.3%,36.8%,1326
Nebraska,Cedar,3.4%,6.7%,7.4%,25.6%,17.3%,39.6%,2.3%,25.3%,38.2%,34.2%,1329
Nebraska,Chase,7.4%,9.1%,11.3%,27.7%,19.8%,24.6%,3.7%,22.4%,47.5%,26.4%,1330
Nebraska,Cherry,12.6%,6.7%,11.9%,24.2%,17.7%,26.9%,7.9%,22.4%,40.7%,29.0%,1333
Nebraska,Cheyenne,8.2%,9.2%,6.5%,17.8%,35.0%,23.4%,2.0%,30.7%,37.6%,29.7%,1334
Nebraska,Clay,2.4%,6.8%,7.9%,28.9%,13.8%,40.1%,2.4%,24.4%,41.4%,31.9%,1336
Nebraska,Colfax,4.4%,10.2%,11.0%,25.3%,14.2%,34.8%,2.8%,26.3%,36.7%,34.2%,1338
Nebraska,Cuming,2.2%,7.4%,4.7%,26.4%,14.2%,44.9%,5.1%,23.4%,40.4%,31.2%,1340
Nebraska,Custer,3.4%,6.1%,4.3%,23.1%,20.7%,42.4%,3.8%,22.0%,36.6%,37.6%,1342
Nebraska,Dakota,4.5%,18.1%,10.2%,34.8%,16.1%,16.3%,6.2%,30.7%,37.1%,26.0%,1344
Nebraska,Dawes,4.2%,3.3%,16.6%,27.1%,15.4%,33.3%,4.3%,37.6%,32.4%,25.8%,1347
Nebraska,Dawson,4.0%,9.0%,7.3%,34.2%,21.1%,24.4%,4.9%,29.5%,36.5%,29.1%,1349
Nebraska,Deuel,1.5%,5.7%,3.9%,18.0%,30.4%,40.5%,4.1%,26.1%,34.3%,35.6%,1351
Nebraska,Dixon,3.4%,5.5%,4.5%,23.0%,14.6%,49.0%,4.1%,24.8%,35.2%,35.9%,1353
Nebraska,Dodge,5.5%,7.7%,7.7%,29.3%,24.4%,25.4%,5.3%,30.5%,42.3%,21.9%,1354
Nebraska,Douglas,12.0%,12.4%,10.2%,30.9%,16.3%,18.3%,8.0%,34.7%,39.7%,17.7%,1358
Nebraska,Dundy,0.7%,4.4%,6.0%,31.4%,20.4%,37.1%,1.0%,24.1%,37.4%,37.4%,1360
Nebraska,Fillmore,4.0%,6.5%,9.3%,25.8%,14.2%,40.2%,3.0%,23.8%,38.5%,34.8%,1363
Nebraska,Franklin,0.8%,2.4%,5.1%,17.5%,16.5%,57.7%,3.3%,24.7%,33.9%,38.1%,1369
Nebraska,Frontier,2.9%,4.3%,5.9%,23.0%,16.2%,47.7%,2.5%,26.0%,33.0%,38.6%,1371
Nebraska,Furnas,3.2%,6.9%,5.0%,23.0%,14.4%,47.5%,3.5%,29.9%,32.9%,33.7%,1374
Nebraska,Gage,8.3%,9.0%,7.3%,26.3%,18.4%,30.7%,6.4%,26.0%,37.9%,29.7%,1378
Nebraska,Garden,3.8%,1.1%,4.4%,26.0%,19.5%,45.1%,1.4%,33.5%,33.4%,31.6%,1381
Nebraska,Garfield,3.5%,2.4%,11.2%,23.0%,20.5%,39.4%,3.7%,25.4%,28.2%,42.7%,1391
Nebraska,Gosper,4.9%,6.0%,12.9%,30.2%,14.0%,32.1%,1.4%,19.2%,40.7%,38.7%,1393
Nebraska,Grant,2.4%,14.3%,12.6%,18.1%,11.9%,40.6%,3.8%,25.3%,29.7%,41.3%,1395
Nebraska,Greeley,2.5%,8.6%,7.8%,16.0%,13.8%,51.4%,5.5%,22.9%,34.7%,36.9%,1397
Nebraska,Hall,7.3%,11.0%,9.9%,33.7%,18.3%,19.8%,5.5%,31.4%,38.3%,24.8%,1402
Nebraska,Hamilton,5.7%,12.9%,6.4%,29.3%,9.5%,36.3%,2.3%,26.3%,36.4%,35.0%,1405
Nebraska,Harlan,3.4%,7.0%,8.0%,19.5%,13.4%,48.9%,3.1%,23.1%,40.4%,33.4%,1409
Nebraska,Hayes,2.3%,3.6%,8.2%,20.7%,16.1%,49.1%,2.3%,17.0%,31.6%,49.1%,1411
Nebraska,Hitchcock,2.6%,3.3%,6.3%,17.8%,20.3%,49.7%,3.6%,20.8%,35.9%,39.7%,1414
Nebraska,Holt,4.7%,9.1%,9.3%,26.5%,18.9%,31.5%,5.2%,22.8%,36.6%,35.5%,1416
Nebraska,Hooker,6.9%,14.1%,8.1%,31.3%,21.9%,17.8%,0.0%,27.8%,22.5%,49.7%,1418
Nebraska,Howard,6.3%,12.6%,7.0%,24.1%,13.2%,36.8%,2.5%,23.2%,35.2%,39.1%,1311
Nebraska,Jefferson,3.1%,4.9%,5.2%,24.3%,17.1%,45.4%,4.6%,23.2%,41.9%,30.3%,1312
Nebraska,Johnson,4.0%,6.1%,3.8%,26.2%,14.3%,45.6%,5.7%,24.1%,36.4%,33.9%,1313
Nebraska,Kearney,4.3%,8.6%,9.4%,27.2%,14.4%,36.1%,3.8%,22.7%,39.9%,33.6%,1314
Nebraska,Keith,5.9%,6.3%,8.0%,32.7%,21.6%,25.6%,3.0%,23.6%,42.9%,30.5%,1316
Nebraska,Keya Paha,4.9%,4.3%,10.7%,19.1%,12.1%,48.8%,3.8%,28.9%,28.9%,38.4%,1318
Nebraska,Kimball,5.4%,8.3%,4.6%,19.3%,33.2%,29.2%,7.1%,25.9%,43.1%,23.9%,1320
Nebraska,Knox,3.5%,6.0%,9.4%,29.3%,14.8%,37.0%,5.1%,24.9%,37.4%,32.7%,1322
Nebraska,Lancaster,15.3%,16.1%,10.8%,29.1%,14.5%,14.3%,5.9%,33.3%,39.4%,21.4%,1324
Nebraska,Lincoln,7.4%,10.3%,5.3%,37.1%,19.3%,20.7%,3.7%,28.3%,38.8%,29.2%,1327
Nebraska,Logan,5.6%,9.4%,8.4%,23.8%,14.7%,38.1%,4.1%,8.1%,27.2%,60.6%,1328
Nebraska,Loup,1.7%,7.4%,7.9%,32.6%,16.5%,33.9%,0.0%,17.8%,30.2%,52.1%,1331
Nebraska,McPherson,5.4%,6.4%,5.4%,20.6%,47.5%,14.7%,7.4%,8.3%,29.9%,54.4%,1332
Nebraska,Madison,8.0%,9.6%,12.3%,29.3%,16.3%,24.4%,6.1%,30.0%,38.6%,25.3%,1335
Nebraska,Merrick,2.9%,9.1%,7.0%,26.8%,16.0%,38.2%,4.5%,21.4%,36.9%,37.2%,1337
Nebraska,Morrill,3.6%,5.5%,6.9%,30.2%,21.2%,32.6%,3.7%,30.0%,35.3%,31.0%,1339
Nebraska,Nance,5.3%,8.9%,5.6%,21.2%,14.0%,45.0%,5.4%,25.1%,36.8%,32.8%,1341
Nebraska,Nemaha,5.9%,8.1%,7.5%,19.9%,14.5%,44.1%,4.8%,25.7%,32.6%,36.9%,1343
Nebraska,Nuckolls,3.8%,1.9%,8.4%,20.9%,18.6%,46.3%,3.6%,27.7%,41.3%,27.3%,1345
Nebraska,Otoe,10.3%,10.4%,5.5%,25.4%,17.1%,31.3%,5.7%,26.1%,38.9%,29.4%,1348
Nebraska,Pawnee,3.6%,7.4%,6.1%,16.3%,10.7%,55.9%,5.3%,22.7%,33.6%,38.3%,1350
Nebraska,Perkins,0.6%,6.0%,10.7%,18.8%,27.6%,36.3%,5.2%,22.1%,35.2%,37.5%,1352
Nebraska,Phelps,5.1%,9.4%,7.2%,26.2%,18.4%,33.7%,3.6%,26.5%,40.7%,29.1%,1355
Nebraska,Pierce,5.2%,9.6%,7.7%,27.7%,12.8%,37.0%,3.1%,21.3%,35.5%,40.1%,1356
Nebraska,Platte,7.4%,11.3%,9.6%,33.5%,17.7%,20.5%,5.0%,25.1%,41.8%,28.1%,1359
Nebraska,Polk,1.3%,5.3%,7.9%,28.2%,14.4%,42.9%,2.1%,23.5%,42.4%,32.1%,1362
Nebraska,Red Willow,3.1%,3.4%,9.7%,29.9%,19.5%,34.3%,2.4%,27.0%,40.3%,30.3%,1364
Nebraska,Richardson,3.0%,7.9%,3.4%,19.0%,20.9%,45.7%,3.2%,33.1%,32.6%,31.1%,1365
Nebraska,Rock,4.1%,11.2%,7.0%,29.7%,22.9%,25.1%,1.8%,24.0%,37.4%,36.7%,1366
Nebraska,Saline,5.3%,9.3%,6.5%,28.1%,15.0%,35.7%,4.4%,24.0%,35.0%,36.6%,1367
Nebraska,Sarpy,25.9%,18.8%,14.2%,30.2%,7.6%,3.3%,2.4%,26.2%,47.4%,23.9%,1368
Nebraska,Saunders,9.6%,9.9%,4.8%,29.2%,10.3%,36.1%,3.1%,20.3%,40.0%,36.6%,1370
Nebraska,Scotts Bluff,5.7%,6.5%,7.1%,35.5%,25.3%,20.0%,6.8%,31.9%,37.0%,24.3%,1373
Nebraska,Seward,10.6%,14.2%,6.2%,29.9%,12.9%,26.1%,3.4%,22.1%,38.8%,35.7%,1375
Nebraska,Sheridan,1.6%,5.9%,6.0%,20.7%,24.5%,41.4%,3.0%,32.0%,33.0%,32.0%,1376
Nebraska,Sherman,1.8%,2.1%,3.7%,20.5%,19.1%,52.8%,4.6%,27.1%,33.8%,34.4%,1377
Nebraska,Sioux,1.7%,7.5%,7.9%,23.4%,23.4%,36.1%,1.7%,22.1%,31.9%,44.3%,1380
Nebraska,Stanton,6.1%,10.8%,4.8%,32.1%,11.7%,34.5%,3.0%,20.0%,38.3%,38.7%,1382
Nebraska,Thayer,3.8%,3.9%,6.9%,23.4%,17.7%,44.4%,3.5%,23.8%,38.6%,34.1%,1383
Nebraska,Thomas,5.4%,7.5%,14.5%,30.4%,13.9%,28.3%,0.0%,24.7%,33.7%,41.6%,1384
Nebraska,Thurston,2.8%,9.4%,11.2%,27.7%,16.0%,32.8%,7.7%,33.2%,33.2%,25.9%,1385
Nebraska,Valley,4.0%,6.4%,4.7%,30.7%,15.1%,39.0%,8.9%,22.5%,33.0%,35.5%,1386
Nebraska,Washington,15.0%,17.7%,10.9%,24.5%,7.7%,24.3%,3.9%,22.0%,42.3%,31.7%,1387
Nebraska,Wayne,3.7%,7.4%,9.3%,22.5%,14.3%,42.7%,4.0%,24.8%,45.7%,25.5%,1388
Nebraska,Webster,1.3%,5.5%,6.5%,17.1%,12.3%,57.4%,5.5%,23.5%,37.6%,33.3%,1389
Nebraska,Wheeler,8.3%,6.0%,5.7%,25.3%,28.0%,26.8%,0.9%,16.1%,41.1%,42.0%,1390
Nebraska,York,2.1%,6.3%,9.7%,32.3%,16.4%,33.3%,4.9%,29.2%,43.2%,22.6%,1392
Nevada,Churchill,17.2%,27.8%,17.1%,23.1%,9.1%,5.7%,3.6%,29.4%,39.6%,27.4%,1396
Nevada,Clark,31.4%,30.3%,16.3%,18.3%,3.3%,0.4%,7.5%,37.6%,39.1%,15.8%,1399
Nevada,Douglas,21.2%,25.8%,22.3%,26.9%,2.5%,1.3%,2.1%,25.1%,41.8%,31.0%,1400
Nevada,Elko,9.2%,31.2%,25.3%,22.4%,6.0%,5.9%,3.4%,26.1%,39.0%,31.4%,1401
Nevada,Esmeralda,2.6%,11.6%,35.7%,41.4%,0.0%,8.7%,14.0%,28.2%,31.4%,26.4%,1404
Nevada,Eureka,13.5%,36.0%,25.4%,18.0%,3.6%,3.5%,2.2%,25.4%,26.0%,46.4%,1406
Nevada,Humboldt,7.1%,36.2%,24.3%,23.8%,4.9%,3.7%,4.5%,25.0%,35.7%,34.8%,1407
Nevada,Lander,3.5%,32.1%,27.9%,25.4%,7.1%,4.0%,3.2%,21.6%,37.4%,37.8%,1408
Nevada,Lincoln,8.6%,12.8%,13.1%,22.1%,30.2%,13.2%,4.9%,20.8%,35.1%,39.2%,1410
Nevada,Lyon,26.9%,30.6%,18.5%,19.8%,2.6%,1.6%,3.0%,29.8%,38.5%,28.7%,1412
Nevada,Mineral,3.9%,14.8%,32.1%,30.5%,16.6%,2.1%,10.9%,36.9%,35.3%,16.9%,1415
Nevada,Nye,22.8%,39.2%,16.9%,17.7%,2.3%,1.1%,4.5%,33.1%,38.2%,24.2%,1417
Nevada,Pershing,9.1%,29.8%,25.3%,15.2%,10.7%,9.8%,5.6%,22.5%,39.9%,32.0%,1419
Nevada,Storey,19.6%,32.5%,19.7%,25.8%,0.0%,2.4%,3.0%,19.3%,42.6%,35.2%,1420
Nevada,Washoe,21.9%,21.2%,16.2%,28.6%,9.5%,2.7%,7.1%,31.6%,38.9%,22.5%,1423
Nevada,White Pine,4.2%,19.1%,10.9%,15.9%,21.7%,28.3%,5.5%,30.6%,30.4%,33.5%,1425
Nevada,Carson City,10.1%,21.2%,21.2%,39.4%,6.4%,1.7%,6.2%,33.9%,35.0%,24.9%,1428
New Hampshire,Belknap,11.4%,11.9%,20.5%,21.7%,11.5%,23.0%,5.6%,31.6%,41.0%,21.8%,1432
New Hampshire,Carroll,9.9%,13.1%,19.6%,25.5%,8.4%,23.5%,4.5%,31.9%,41.2%,22.4%,1435
New Hampshire,Cheshire,8.5%,9.3%,14.0%,23.0%,13.9%,31.3%,5.1%,31.4%,41.7%,21.9%,1437
New Hampshire,Coos,5.8%,7.2%,12.7%,19.8%,16.4%,38.1%,7.2%,35.0%,39.8%,18.0%,1440
