County,State,Households with one or more people under 18 years,Households with one or more people 60 years and over,1-unit structures,2-unit structures,Mobile homes and all other types of units
Starke County,Indiana,28.3%,48.9%,86.6%,5.8%,7.6%
Steuben County,Indiana,27.1%,45.7%,81.7%,9.2%,9.1%
Sullivan County,Indiana,33.7%,43.5%,80.4%,9.3%,10.4%
Switzerland County,Indiana,31.0%,49.4%,74.1%,8.7%,17.2%
Tippecanoe County,Indiana,28.0%,30.2%,64.9%,32.0%,3.1%
Tipton County,Indiana,30.6%,42.8%,87.7%,5.0%,7.3%
Union County,Indiana,31.5%,40.7%,83.8%,7.4%,8.8%
Vanderburgh County,Indiana,27.3%,39.7%,74.2%,23.4%,2.4%
Vermillion County,Indiana,31.7%,40.4%,85.2%,8.2%,6.6%
Vigo County,Indiana,28.0%,38.3%,76.1%,21.2%,2.7%
Wabash County,Indiana,29.1%,44.2%,83.4%,12.4%,4.3%
Warren County,Indiana,31.8%,43.3%,92.7%,3.0%,4.4%
Warrick County,Indiana,32.7%,39.6%,85.9%,9.8%,4.2%
Washington County,Indiana,30.7%,43.5%,75.5%,5.8%,18.7%
Wayne County,Indiana,29.3%,43.6%,82.1%,14.8%,3.1%
Wells County,Indiana,31.2%,42.4%,80.6%,13.1%,6.2%
White County,Indiana,29.1%,47.7%,84.4%,9.1%,6.6%
Whitley County,Indiana,29.5%,40.7%,86.5%,8.3%,5.2%
Adair County,Iowa,26.2%,47.6%,83.6%,14.5%,1.9%
Adams County,Iowa,26.1%,47.9%,91.0%,5.5%,3.4%
Allamakee County,Iowa,23.1%,47.1%,82.4%,8.7%,8.9%
Appanoose County,Iowa,22.6%,50.8%,81.3%,12.3%,6.4%
Audubon County,Iowa,22.8%,45.5%,94.6%,4.9%,0.5%
Benton County,Iowa,31.3%,41.7%,91.1%,6.4%,2.6%
Black Hawk County,Iowa,27.2%,38.0%,75.7%,21.0%,3.3%
Boone County,Iowa,28.8%,42.5%,83.4%,13.6%,3.0%
Bremer County,Iowa,31.5%,42.3%,89.6%,9.2%,1.2%
Buchanan County,Iowa,31.4%,43.6%,88.1%,7.8%,4.1%
Buena Vista County,Iowa,30.5%,37.5%,76.4%,21.1%,2.5%
Butler County,Iowa,28.1%,45.3%,90.2%,7.7%,2.1%
Calhoun County,Iowa,29.0%,49.1%,89.9%,8.5%,1.6%
Carroll County,Iowa,26.4%,41.2%,86.4%,12.7%,0.9%
Cass County,Iowa,25.8%,46.3%,84.4%,14.0%,1.6%
Cedar County,Iowa,28.4%,44.9%,87.3%,8.6%,4.1%
Cerro Gordo County,Iowa,24.9%,43.9%,79.0%,17.9%,3.1%
Cherokee County,Iowa,22.8%,47.0%,87.5%,11.3%,1.2%
Chickasaw County,Iowa,26.5%,45.1%,91.0%,7.3%,1.8%
Clarke County,Iowa,29.9%,42.9%,78.5%,15.6%,5.9%
Clay County,Iowa,26.3%,43.5%,78.4%,20.0%,1.6%
Clayton County,Iowa,24.3%,47.0%,84.0%,13.0%,3.0%
Clinton County,Iowa,25.6%,46.0%,82.4%,15.6%,2.0%
Crawford County,Iowa,34.4%,42.3%,82.9%,12.0%,5.1%
Dallas County,Iowa,37.9%,29.5%,76.7%,20.4%,2.8%
Davis County,Iowa,35.1%,44.8%,91.0%,4.7%,4.2%
Decatur County,Iowa,27.1%,43.4%,78.1%,14.1%,7.8%
Delaware County,Iowa,28.7%,44.1%,90.0%,7.1%,2.9%
Des Moines County,Iowa,30.2%,45.7%,81.5%,14.5%,4.1%
Dickinson County,Iowa,21.2%,48.0%,80.3%,14.9%,4.8%
Dubuque County,Iowa,30.0%,39.8%,75.9%,20.2%,3.9%
Emmet County,Iowa,23.5%,47.0%,87.7%,9.2%,3.1%
Fayette County,Iowa,24.8%,47.7%,88.3%,7.9%,3.8%
Floyd County,Iowa,24.3%,43.1%,84.6%,14.0%,1.4%
Franklin County,Iowa,28.5%,42.7%,92.9%,5.7%,1.5%
Fremont County,Iowa,27.4%,48.5%,90.2%,6.9%,2.9%
Greene County,Iowa,24.0%,47.2%,87.5%,9.9%,2.6%
Grundy County,Iowa,32.3%,42.7%,88.4%,8.1%,3.5%
Guthrie County,Iowa,27.2%,47.9%,91.4%,6.6%,2.0%
Hamilton County,Iowa,29.8%,42.5%,84.6%,13.4%,2.0%
Hancock County,Iowa,26.7%,41.5%,89.7%,7.9%,2.5%
Hardin County,Iowa,26.2%,45.6%,85.0%,12.6%,2.4%
Harrison County,Iowa,28.5%,41.7%,86.9%,8.5%,4.6%
Henry County,Iowa,30.9%,44.3%,79.7%,15.7%,4.7%
Howard County,Iowa,31.2%,44.0%,94.2%,4.7%,1.1%
Humboldt County,Iowa,24.7%,45.8%,86.1%,11.4%,2.5%
Ida County,Iowa,27.6%,45.5%,90.0%,7.7%,2.3%
Iowa County,Iowa,28.2%,43.2%,85.2%,10.8%,4.0%
Jackson County,Iowa,28.4%,44.9%,83.1%,8.5%,8.4%
Jasper County,Iowa,30.0%,44.9%,82.0%,13.9%,4.1%
Jefferson County,Iowa,21.3%,53.1%,75.8%,13.4%,10.9%
Johnson County,Iowa,26.3%,27.5%,62.7%,33.0%,4.3%
Jones County,Iowa,25.4%,44.3%,83.7%,10.9%,5.4%
Keokuk County,Iowa,26.0%,47.1%,89.9%,7.7%,2.4%
Kossuth County,Iowa,24.6%,47.3%,86.9%,12.8%,0.3%
Lee County,Iowa,27.8%,45.2%,82.1%,12.9%,5.0%
Linn County,Iowa,30.5%,35.5%,74.5%,21.7%,3.7%
Louisa County,Iowa,31.7%,43.0%,79.9%,7.2%,12.9%
Lucas County,Iowa,29.3%,45.0%,83.5%,12.0%,4.5%
Lyon County,Iowa,37.3%,40.5%,93.1%,5.2%,1.7%
Madison County,Iowa,34.4%,40.8%,86.6%,8.9%,4.5%
Mahaska County,Iowa,29.7%,40.6%,80.7%,14.7%,4.6%
Marion County,Iowa,34.3%,41.6%,79.8%,15.1%,5.1%
Marshall County,Iowa,31.7%,38.3%,80.9%,16.1%,3.0%
Mills County,Iowa,28.3%,44.8%,87.9%,8.8%,3.4%
Mitchell County,Iowa,28.4%,45.8%,89.7%,8.4%,1.9%
Monona County,Iowa,23.5%,50.2%,87.4%,9.3%,3.3%
Monroe County,Iowa,28.4%,43.7%,77.4%,7.2%,15.4%
Montgomery County,Iowa,29.1%,46.7%,86.7%,11.5%,1.8%
Muscatine County,Iowa,31.6%,40.1%,80.1%,13.8%,6.2%
O'Brien County,Iowa,27.4%,43.0%,85.6%,12.3%,2.1%
Osceola County,Iowa,23.8%,46.9%,90.7%,8.6%,0.7%
Page County,Iowa,25.0%,47.6%,83.0%,14.8%,2.2%
Palo Alto County,Iowa,24.6%,46.0%,85.8%,14.0%,0.3%
Plymouth County,Iowa,33.1%,42.2%,86.6%,9.9%,3.5%
Pocahontas County,Iowa,21.9%,45.6%,91.7%,6.5%,1.8%
Polk County,Iowa,32.7%,31.9%,72.9%,25.0%,2.1%
Pottawattamie County,Iowa,28.3%,42.2%,77.5%,18.2%,4.4%
Poweshiek County,Iowa,25.1%,43.8%,77.9%,18.3%,3.8%
Ringgold County,Iowa,28.9%,47.4%,85.3%,7.9%,6.7%
Sac County,Iowa,25.1%,46.8%,92.4%,6.6%,1.0%
Scott County,Iowa,30.0%,38.8%,77.2%,20.5%,2.3%
Shelby County,Iowa,25.0%,46.2%,89.2%,9.1%,1.6%
Sioux County,Iowa,34.8%,37.3%,86.2%,11.1%,2.7%
Story County,Iowa,22.1%,29.3%,58.6%,37.3%,4.1%
Tama County,Iowa,29.3%,44.0%,88.5%,7.8%,3.7%
Taylor County,Iowa,25.4%,52.2%,89.2%,5.9%,4.9%
Union County,Iowa,27.8%,43.2%,79.0%,16.4%,4.6%
Van Buren County,Iowa,27.5%,50.6%,85.2%,6.5%,8.2%
Wapello County,Iowa,30.7%,44.2%,81.4%,13.3%,5.2%
Warren County,Iowa,35.2%,38.9%,83.0%,14.4%,2.6%
Washington County,Iowa,34.8%,41.3%,84.2%,12.3%,3.5%
Wayne County,Iowa,28.4%,48.1%,85.9%,6.3%,7.9%
Webster County,Iowa,25.6%,42.1%,80.8%,16.4%,2.9%
Winnebago County,Iowa,24.2%,44.2%,87.8%,11.8%,0.5%
Winneshiek County,Iowa,25.3%,47.1%,86.5%,10.8%,2.8%
Woodbury County,Iowa,34.8%,37.0%,77.9%,18.2%,3.9%
Worth County,Iowa,28.0%,44.5%,89.7%,7.9%,2.3%
Wright County,Iowa,26.5%,47.4%,86.9%,11.8%,1.3%
Allen County,Kansas,28.5%,43.3%,83.1%,8.6%,8.3%
Anderson County,Kansas,29.3%,49.1%,93.1%,2.0%,4.9%
Atchison County,Kansas,31.2%,43.4%,82.6%,12.1%,5.3%
Barber County,Kansas,25.3%,45.2%,89.8%,5.1%,5.0%
Barton County,Kansas,27.9%,43.9%,81.3%,11.1%,7.6%
Bourbon County,Kansas,28.9%,48.0%,83.2%,9.2%,7.6%
Brown County,Kansas,26.1%,47.4%,88.1%,9.3%,2.6%
Butler County,Kansas,36.2%,40.3%,84.0%,10.3%,5.7%
Chase County,Kansas,26.2%,53.0%,86.9%,5.3%,7.9%
Chautauqua County,Kansas,30.0%,55.7%,84.7%,3.0%,12.3%
Cherokee County,Kansas,27.8%,48.5%,82.2%,9.2%,8.6%
Cheyenne County,Kansas,18.7%,53.8%,89.4%,5.2%,5.4%
Clark County,Kansas,27.1%,46.4%,87.2%,8.2%,4.6%
Clay County,Kansas,29.6%,49.5%,90.1%,8.4%,1.5%
Cloud County,Kansas,30.2%,43.5%,93.2%,5.3%,1.5%
Coffey County,Kansas,28.6%,43.0%,86.4%,4.9%,8.7%
Comanche County,Kansas,16.6%,51.3%,92.3%,4.2%,3.5%
Cowley County,Kansas,30.7%,43.3%,80.0%,11.2%,8.8%
Crawford County,Kansas,29.6%,36.4%,80.7%,13.6%,5.6%
Decatur County,Kansas,20.9%,51.2%,88.1%,6.3%,5.6%
Dickinson County,Kansas,27.4%,45.8%,86.0%,9.7%,4.3%
Doniphan County,Kansas,27.0%,45.9%,84.0%,6.3%,9.7%
Douglas County,Kansas,24.9%,29.6%,66.5%,32.1%,1.4%
Edwards County,Kansas,29.9%,44.7%,92.3%,3.7%,4.0%
Elk County,Kansas,25.5%,58.6%,85.4%,4.9%,9.7%
Ellis County,Kansas,25.6%,35.5%,75.3%,20.7%,4.1%
Ellsworth County,Kansas,25.9%,47.4%,89.5%,7.2%,3.2%
Finney County,Kansas,40.3%,31.6%,67.8%,18.2%,14.0%
Ford County,Kansas,39.9%,31.1%,73.0%,16.3%,10.7%
Franklin County,Kansas,29.0%,40.5%,81.0%,9.5%,9.5%
Geary County,Kansas,44.8%,21.3%,67.8%,27.5%,4.8%
Gove County,Kansas,27.1%,48.8%,90.2%,7.1%,2.7%
Graham County,Kansas,26.8%,50.9%,89.9%,4.5%,5.7%
Grant County,Kansas,30.1%,32.3%,79.1%,5.3%,15.6%
Gray County,Kansas,36.3%,40.5%,88.4%,2.7%,9.0%
Greeley County,Kansas,37.1%,37.9%,81.5%,6.5%,12.0%
Greenwood County,Kansas,28.5%,50.7%,88.9%,6.1%,5.0%
Hamilton County,Kansas,26.0%,41.7%,89.5%,1.5%,9.0%
Harper County,Kansas,27.2%,46.6%,89.2%,8.0%,2.8%
Harvey County,Kansas,33.3%,41.9%,83.6%,13.9%,2.5%
Haskell County,Kansas,33.0%,38.1%,76.7%,1.5%,21.8%
Hodgeman County,Kansas,28.4%,47.2%,92.4%,2.7%,4.9%
Jackson County,Kansas,27.3%,43.6%,81.8%,12.1%,6.1%
Jefferson County,Kansas,29.8%,42.9%,91.3%,3.9%,4.9%
Jewell County,Kansas,20.7%,57.6%,91.1%,6.5%,2.5%
Johnson County,Kansas,33.3%,35.2%,76.6%,22.8%,0.6%
Kearny County,Kansas,23.6%,45.7%,78.3%,5.5%,16.1%
Kingman County,Kansas,24.6%,49.7%,87.2%,3.9%,8.9%
Kiowa County,Kansas,18.7%,49.5%,86.6%,9.4%,4.0%
Labette County,Kansas,30.9%,43.8%,86.8%,8.2%,5.0%
Lane County,Kansas,31.2%,33.8%,92.8%,3.0%,4.2%
Leavenworth County,Kansas,35.2%,37.1%,85.8%,12.9%,1.4%
Lincoln County,Kansas,22.0%,46.9%,88.4%,5.6%,6.0%
Linn County,Kansas,29.6%,45.6%,77.9%,6.8%,15.3%
Logan County,Kansas,31.4%,45.4%,81.7%,9.7%,8.6%
Lyon County,Kansas,26.1%,35.8%,70.2%,26.0%,3.8%
McPherson County,Kansas,28.5%,38.6%,82.5%,14.2%,3.3%
Marion County,Kansas,27.8%,48.2%,89.1%,7.3%,3.6%
Marshall County,Kansas,26.9%,47.2%,87.8%,8.1%,4.1%
Meade County,Kansas,35.3%,37.8%,84.1%,4.4%,11.5%
Miami County,Kansas,32.5%,41.1%,89.4%,7.5%,3.0%
Mitchell County,Kansas,24.6%,44.7%,88.6%,10.6%,0.8%
Montgomery County,Kansas,27.5%,44.5%,80.8%,11.5%,7.7%
Morris County,Kansas,26.3%,51.6%,83.7%,6.2%,10.2%
Morton County,Kansas,35.9%,44.4%,91.8%,3.9%,4.3%
Nemaha County,Kansas,31.3%,42.1%,85.7%,11.3%,3.0%
Neosho County,Kansas,30.8%,45.9%,87.0%,6.4%,6.6%
Ness County,Kansas,22.0%,51.9%,95.3%,1.3%,3.3%
Norton County,Kansas,28.3%,51.0%,91.8%,3.8%,4.4%
Osage County,Kansas,28.2%,44.0%,83.8%,6.7%,9.5%
Osborne County,Kansas,29.0%,45.9%,91.6%,5.9%,2.5%
Ottawa County,Kansas,29.6%,45.0%,88.6%,8.7%,2.7%
Pawnee County,Kansas,24.3%,55.0%,81.8%,14.4%,3.8%
Phillips County,Kansas,24.2%,49.1%,84.2%,11.0%,4.8%
Pottawatomie County,Kansas,38.3%,35.4%,84.1%,6.8%,9.1%
Pratt County,Kansas,28.4%,46.0%,87.3%,9.7%,3.0%
Rawlins County,Kansas,33.4%,47.0%,88.1%,7.1%,4.8%
Reno County,Kansas,28.2%,44.4%,82.3%,14.1%,3.6%
Republic County,Kansas,23.9%,51.1%,89.1%,9.4%,1.5%
Rice County,Kansas,31.1%,41.3%,90.6%,6.6%,2.8%
Riley County,Kansas,26.5%,23.5%,59.4%,35.8%,4.8%
Rooks County,Kansas,30.8%,46.0%,90.6%,6.3%,3.1%
Rush County,Kansas,17.6%,49.2%,90.5%,3.7%,5.8%
Russell County,Kansas,24.7%,45.8%,94.0%,3.9%,2.0%
Saline County,Kansas,26.4%,40.6%,82.0%,15.9%,2.1%
Scott County,Kansas,33.8%,36.4%,87.2%,2.1%,10.6%
Sedgwick County,Kansas,31.2%,37.1%,76.5%,20.3%,3.2%
Seward County,Kansas,42.7%,29.8%,69.6%,17.9%,12.4%
Shawnee County,Kansas,29.0%,42.3%,79.8%,17.7%,2.5%
Sheridan County,Kansas,25.3%,46.9%,92.2%,4.0%,3.8%
Sherman County,Kansas,27.9%,43.5%,79.6%,12.7%,7.6%
Smith County,Kansas,24.0%,52.2%,92.5%,5.6%,1.8%
Stafford County,Kansas,29.5%,48.0%,93.7%,3.1%,3.2%
Stanton County,Kansas,20.7%,39.3%,73.8%,6.5%,19.8%
Stevens County,Kansas,36.9%,38.0%,79.2%,5.6%,15.2%
Sumner County,Kansas,31.4%,44.5%,82.6%,8.7%,8.7%
Thomas County,Kansas,27.6%,38.9%,84.0%,9.9%,6.0%
Trego County,Kansas,27.3%,48.2%,93.1%,5.8%,1.2%
Wabaunsee County,Kansas,31.4%,47.9%,93.0%,3.4%,3.6%
Wallace County,Kansas,25.0%,48.1%,83.1%,9.7%,7.2%
Washington County,Kansas,22.9%,47.0%,89.1%,8.5%,2.3%
Wichita County,Kansas,32.7%,44.1%,80.2%,7.5%,12.3%
Wilson County,Kansas,31.0%,47.8%,83.9%,5.5%,10.6%
Woodson County,Kansas,23.5%,54.2%,91.3%,2.9%,5.8%
Wyandotte County,Kansas,33.8%,36.3%,78.8%,18.6%,2.6%
Adair County,Kentucky,28.5%,46.1%,74.7%,7.7%,17.6%
Allen County,Kentucky,32.7%,42.4%,72.9%,6.7%,20.3%
Anderson County,Kentucky,31.8%,40.7%,81.3%,12.2%,6.5%
Ballard County,Kentucky,28.1%,48.4%,75.8%,9.1%,15.1%
Barren County,Kentucky,34.1%,39.7%,73.8%,13.6%,12.6%
Bath County,Kentucky,32.7%,42.7%,59.4%,5.0%,35.6%
Bell County,Kentucky,30.0%,45.3%,65.0%,13.2%,21.8%
Boone County,Kentucky,37.3%,36.2%,76.1%,20.1%,3.8%
Bourbon County,Kentucky,31.5%,46.4%,81.3%,12.9%,5.8%
Boyd County,Kentucky,30.5%,44.7%,77.7%,13.1%,9.2%
Boyle County,Kentucky,31.5%,46.1%,76.0%,18.6%,5.4%
Bracken County,Kentucky,27.7%,44.5%,69.1%,6.9%,23.9%
Breathitt County,Kentucky,30.2%,42.3%,53.8%,6.6%,39.6%
Breckinridge County,Kentucky,28.8%,49.6%,72.4%,6.3%,21.3%
Bullitt County,Kentucky,34.3%,40.1%,84.4%,8.9%,6.7%
Butler County,Kentucky,32.4%,45.0%,66.4%,7.4%,26.2%
Caldwell County,Kentucky,27.4%,44.6%,78.8%,7.1%,14.1%
Calloway County,Kentucky,26.1%,40.2%,65.5%,22.4%,12.1%
Campbell County,Kentucky,29.4%,37.9%,69.7%,28.6%,1.6%
Carlisle County,Kentucky,33.4%,49.0%,79.6%,4.0%,16.4%
Carroll County,Kentucky,39.1%,39.3%,63.7%,13.5%,22.8%
Carter County,Kentucky,30.7%,47.2%,68.3%,4.4%,27.2%
Casey County,Kentucky,30.2%,45.8%,70.9%,3.9%,25.2%
Christian County,Kentucky,38.5%,32.6%,67.6%,26.1%,6.3%
Clark County,Kentucky,31.1%,43.0%,78.0%,14.9%,7.1%
Clay County,Kentucky,38.6%,42.1%,64.2%,7.7%,28.1%
Clinton County,Kentucky,27.3%,49.9%,68.0%,6.0%,26.0%
Crittenden County,Kentucky,30.6%,48.0%,80.9%,2.5%,16.6%
Cumberland County,Kentucky,25.4%,51.7%,76.9%,7.8%,15.3%
Daviess County,Kentucky,32.8%,40.4%,76.9%,18.6%,4.5%
Edmonson County,Kentucky,31.9%,46.3%,70.5%,1.7%,27.8%
Elliott County,Kentucky,32.0%,48.5%,59.2%,2.7%,38.2%
Estill County,Kentucky,30.4%,47.0%,70.0%,10.1%,19.9%
Fayette County,Kentucky,28.1%,32.3%,68.0%,31.1%,0.9%
Fleming County,Kentucky,33.3%,43.6%,62.1%,4.8%,33.1%
Floyd County,Kentucky,30.8%,44.5%,59.9%,9.7%,30.3%
Franklin County,Kentucky,29.2%,40.3%,69.2%,24.4%,6.3%
Fulton County,Kentucky,29.4%,46.7%,77.3%,16.7%,5.9%
Gallatin County,Kentucky,33.5%,38.8%,62.8%,11.3%,26.0%
Garrard County,Kentucky,33.5%,43.8%,86.4%,4.1%,9.6%
Grant County,Kentucky,35.7%,37.3%,59.2%,14.3%,26.5%
Graves County,Kentucky,29.4%,42.9%,79.4%,7.2%,13.4%
Grayson County,Kentucky,29.3%,46.7%,76.8%,9.8%,13.4%
Green County,Kentucky,32.3%,46.2%,76.7%,5.9%,17.3%
Greenup County,Kentucky,29.1%,47.5%,81.5%,5.7%,12.7%
Hancock County,Kentucky,35.3%,38.1%,71.0%,5.7%,23.3%
Hardin County,Kentucky,33.7%,35.9%,71.7%,19.8%,8.5%
Harlan County,Kentucky,30.1%,45.4%,71.0%,10.2%,18.9%
Harrison County,Kentucky,30.6%,44.6%,75.2%,11.0%,13.8%
Hart County,Kentucky,28.1%,44.4%,73.6%,7.6%,18.8%
Henderson County,Kentucky,33.6%,40.5%,68.9%,21.9%,9.1%
Henry County,Kentucky,35.3%,44.4%,81.4%,6.2%,12.4%
Hickman County,Kentucky,23.8%,52.6%,87.2%,5.3%,7.5%
Hopkins County,Kentucky,30.4%,41.7%,74.9%,10.3%,14.8%
Jackson County,Kentucky,29.6%,46.6%,69.9%,5.8%,24.3%
Jefferson County,Kentucky,27.7%,39.1%,70.1%,28.6%,1.3%
Jessamine County,Kentucky,32.9%,40.8%,83.5%,13.1%,3.4%
Johnson County,Kentucky,31.1%,43.6%,63.4%,12.7%,23.9%
Kenton County,Kentucky,30.1%,36.9%,72.7%,25.4%,1.9%
Knott County,Kentucky,31.9%,43.4%,58.6%,4.3%,37.0%
Knox County,Kentucky,34.6%,43.8%,56.8%,12.3%,30.9%
Larue County,Kentucky,33.8%,44.5%,79.9%,8.7%,11.4%
Laurel County,Kentucky,33.0%,42.0%,65.3%,11.4%,23.3%
Lawrence County,Kentucky,29.0%,45.0%,58.8%,5.3%,35.9%
Lee County,Kentucky,22.1%,44.4%,66.0%,8.8%,25.2%
Leslie County,Kentucky,31.9%,42.9%,66.3%,0.6%,33.1%
Letcher County,Kentucky,33.9%,43.5%,62.0%,7.0%,31.0%
Lewis County,Kentucky,28.7%,45.7%,68.0%,6.9%,25.1%
Lincoln County,Kentucky,34.2%,44.4%,74.8%,5.3%,19.9%
Livingston County,Kentucky,27.3%,48.6%,75.2%,1.6%,23.2%
Logan County,Kentucky,28.2%,44.4%,79.5%,11.6%,8.9%
Lyon County,Kentucky,17.2%,58.8%,76.9%,9.3%,13.7%
McCracken County,Kentucky,27.4%,42.8%,69.4%,22.9%,7.7%
McCreary County,Kentucky,32.1%,42.2%,62.5%,10.4%,27.1%
McLean County,Kentucky,33.7%,46.6%,75.1%,9.0%,15.9%
Madison County,Kentucky,29.2%,37.1%,65.2%,27.4%,7.4%
Magoffin County,Kentucky,32.8%,45.2%,49.4%,3.8%,46.8%
Marion County,Kentucky,29.5%,43.5%,76.3%,9.4%,14.3%
Marshall County,Kentucky,30.0%,48.3%,80.6%,6.6%,12.8%
Martin County,Kentucky,29.5%,48.0%,65.1%,4.7%,30.2%
Mason County,Kentucky,28.8%,41.1%,77.0%,14.6%,8.4%
Meade County,Kentucky,36.7%,36.5%,73.0%,9.4%,17.6%
Menifee County,Kentucky,25.3%,47.7%,70.5%,2.8%,26.7%
Mercer County,Kentucky,25.0%,44.5%,77.0%,13.5%,9.6%
Metcalfe County,Kentucky,33.3%,41.8%,68.8%,6.9%,24.3%
Monroe County,Kentucky,32.6%,43.3%,76.5%,9.0%,14.5%
Montgomery County,Kentucky,34.5%,38.6%,69.1%,12.4%,18.5%
Morgan County,Kentucky,30.5%,47.0%,61.3%,5.1%,33.5%
Muhlenberg County,Kentucky,26.0%,44.5%,76.2%,5.3%,18.5%
Nelson County,Kentucky,32.8%,40.2%,86.4%,7.8%,5.8%
Nicholas County,Kentucky,34.6%,42.2%,65.4%,12.2%,22.4%
Ohio County,Kentucky,33.0%,44.5%,74.5%,6.1%,19.4%
Oldham County,Kentucky,46.4%,34.9%,91.9%,6.7%,1.4%
Owen County,Kentucky,31.2%,48.7%,66.7%,7.6%,25.6%
Owsley County,Kentucky,28.8%,56.0%,63.3%,13.7%,23.0%
Pendleton County,Kentucky,35.3%,40.5%,72.5%,6.3%,21.2%
Perry County,Kentucky,32.1%,40.5%,65.0%,5.5%,29.5%
Pike County,Kentucky,29.0%,42.0%,55.9%,8.4%,35.7%
Powell County,Kentucky,36.1%,42.1%,67.6%,12.6%,19.7%
Pulaski County,Kentucky,30.3%,43.9%,70.0%,11.6%,18.4%
Robertson County,Kentucky,33.1%,34.9%,72.6%,7.0%,20.4%
Rockcastle County,Kentucky,37.3%,41.9%,68.7%,6.2%,25.0%
Rowan County,Kentucky,29.2%,38.0%,60.9%,15.0%,24.2%
Russell County,Kentucky,30.8%,44.9%,72.4%,6.6%,21.0%
Scott County,Kentucky,38.7%,31.1%,79.3%,15.1%,5.6%
Shelby County,Kentucky,34.6%,39.6%,84.4%,12.6%,3.0%
Simpson County,Kentucky,32.7%,42.5%,77.7%,14.0%,8.4%
Spencer County,Kentucky,39.4%,37.4%,90.1%,4.5%,5.4%
Taylor County,Kentucky,28.9%,43.0%,78.2%,13.1%,8.7%
Todd County,Kentucky,34.5%,43.8%,76.0%,7.2%,16.8%
Trigg County,Kentucky,27.2%,54.1%,80.5%,7.9%,11.6%
Trimble County,Kentucky,26.9%,44.8%,70.4%,3.5%,26.1%
Union County,Kentucky,31.2%,41.9%,81.1%,8.6%,10.3%
Warren County,Kentucky,32.5%,33.0%,68.5%,26.9%,4.6%
Washington County,Kentucky,29.5%,39.6%,80.0%,10.0%,10.0%
Wayne County,Kentucky,32.5%,46.5%,68.1%,5.6%,26.3%
Webster County,Kentucky,29.5%,43.9%,74.1%,5.6%,20.3%
Whitley County,Kentucky,35.3%,39.6%,69.4%,8.2%,22.4%
Wolfe County,Kentucky,26.5%,47.2%,61.4%,10.9%,27.7%
Woodford County,Kentucky,31.8%,46.1%,86.7%,11.8%,1.5%
Acadia Parish,Louisiana,36.2%,38.6%,77.9%,6.8%,15.4%
Allen Parish,Louisiana,37.3%,41.7%,74.1%,7.7%,18.3%
Ascension Parish,Louisiana,40.1%,31.3%,77.3%,6.0%,16.7%
Assumption Parish,Louisiana,30.8%,43.5%,61.6%,4.4%,34.0%
Avoyelles Parish,Louisiana,32.5%,40.1%,73.3%,8.1%,18.6%
Beauregard Parish,Louisiana,33.1%,41.3%,63.5%,6.1%,30.4%
Bienville Parish,Louisiana,27.0%,46.8%,62.0%,8.5%,29.5%
Bossier Parish,Louisiana,33.7%,35.0%,72.8%,15.6%,11.6%
Caddo Parish,Louisiana,29.1%,42.7%,73.3%,18.3%,8.4%
Calcasieu Parish,Louisiana,32.3%,38.0%,70.6%,14.8%,14.7%
Caldwell Parish,Louisiana,34.0%,42.9%,64.7%,4.0%,31.3%
Cameron Parish,Louisiana,34.1%,48.4%,60.2%,0.6%,39.3%
Catahoula Parish,Louisiana,34.9%,49.4%,60.7%,8.1%,31.2%
Claiborne Parish,Louisiana,27.4%,47.3%,68.5%,5.1%,26.4%
Concordia Parish,Louisiana,30.6%,51.0%,77.6%,2.9%,19.5%
De Soto Parish,Louisiana,35.3%,43.9%,60.7%,9.7%,29.6%
East Baton Rouge Parish,Louisiana,28.0%,37.2%,69.9%,27.3%,2.8%
East Carroll Parish,Louisiana,24.3%,50.7%,72.3%,14.3%,13.4%
East Feliciana Parish,Louisiana,27.2%,49.0%,60.3%,4.5%,35.2%
Evangeline Parish,Louisiana,33.7%,40.5%,72.3%,13.0%,14.7%
Franklin Parish,Louisiana,32.9%,45.2%,67.7%,5.0%,27.3%
Grant Parish,Louisiana,27.2%,45.9%,75.5%,2.4%,22.1%
Iberia Parish,Louisiana,34.8%,39.3%,70.5%,10.9%,18.6%
Iberville Parish,Louisiana,34.7%,43.6%,73.8%,5.7%,20.6%
Jackson Parish,Louisiana,29.8%,50.6%,76.3%,6.4%,17.3%
Jefferson Parish,Louisiana,28.0%,43.7%,71.4%,27.0%,1.5%
Jefferson Davis Parish,Louisiana,38.8%,43.1%,76.1%,5.6%,18.3%
Lafayette Parish,Louisiana,32.4%,34.2%,72.9%,18.1%,9.0%
Lafourche Parish,Louisiana,34.8%,38.2%,74.2%,8.3%,17.5%
LaSalle Parish,Louisiana,36.6%,47.3%,72.0%,2.7%,25.3%
Lincoln Parish,Louisiana,28.4%,34.4%,59.0%,23.3%,17.7%
Livingston Parish,Louisiana,40.2%,38.2%,70.8%,5.1%,24.0%
Madison Parish,Louisiana,36.8%,43.3%,73.7%,15.6%,10.7%
Morehouse Parish,Louisiana,28.2%,46.1%,76.2%,8.7%,15.1%
Natchitoches Parish,Louisiana,19.7%,40.4%,64.2%,13.7%,22.1%
Orleans Parish,Louisiana,21.3%,38.1%,59.7%,39.8%,0.6%
Ouachita Parish,Louisiana,30.5%,39.0%,70.9%,18.8%,10.4%
Plaquemines Parish,Louisiana,40.3%,35.0%,63.6%,7.3%,29.1%
