County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available,FID
Mississippi,Franklin,95.2%,90.4%,4.8%,0.0%,1.5%,0.0%,2.7%,0.6%,34.6%,49.4%,14.4%,12.1%,15.5%,6.3%,4.3%,15.8%,8.1%,11.5%,12.1%,34.0,1.1%,18.8%,37.5%,42.6%,1575
Mississippi,George,91.4%,77.7%,13.7%,0.5%,1.2%,0.0%,2.3%,4.6%,46.7%,33.9%,14.4%,12.1%,11.5%,8.0%,1.9%,9.6%,6.0%,11.4%,25.1%,32.9,2.7%,15.2%,37.2%,44.9%,1577
Mississippi,Greene,86.5%,69.6%,17.0%,0.0%,1.8%,0.0%,8.5%,3.2%,44.7%,38.1%,21.7%,6.0%,12.6%,9.5%,5.0%,11.6%,3.4%,16.3%,13.9%,32.9,0.4%,14.2%,21.8%,63.6%,1579
Mississippi,Grenada,95.6%,87.6%,8.1%,0.3%,1.0%,0.0%,1.9%,1.2%,86.3%,11.5%,36.9%,24.8%,14.0%,5.4%,1.1%,6.5%,1.1%,2.7%,7.6%,17.8,2.6%,21.9%,32.6%,42.9%,1581
Mississippi,Hancock,88.8%,79.4%,9.5%,0.0%,1.4%,0.6%,2.6%,6.6%,54.7%,28.0%,13.2%,13.4%,10.6%,11.5%,5.1%,14.5%,6.6%,12.5%,12.5%,31.7,4.4%,18.2%,43.9%,33.5%,1583
Mississippi,Harrison,91.1%,82.5%,8.6%,0.2%,4.0%,0.2%,1.2%,3.3%,84.1%,11.7%,13.9%,15.2%,17.2%,18.8%,8.0%,12.3%,4.7%,4.9%,4.9%,23.4,2.7%,22.9%,38.9%,35.4%,1587
Mississippi,Hinds,94.1%,82.7%,11.4%,0.5%,1.4%,0.1%,0.5%,3.4%,66.0%,33.3%,8.5%,12.8%,18.3%,20.8%,8.8%,16.6%,6.4%,4.6%,3.1%,23.3,2.3%,24.4%,39.4%,33.9%,1591
Mississippi,Holmes,94.9%,83.6%,11.3%,1.0%,1.2%,0.0%,0.3%,2.6%,50.6%,48.4%,15.5%,16.3%,6.2%,11.3%,4.1%,13.9%,7.8%,13.4%,11.4%,28.9,5.0%,25.7%,45.6%,23.8%,1593
Mississippi,Humphreys,91.1%,76.1%,15.0%,1.4%,3.0%,0.0%,3.1%,1.4%,59.2%,38.7%,24.6%,16.3%,13.7%,5.1%,3.8%,7.6%,12.0%,4.4%,12.6%,26.0,8.2%,26.6%,35.3%,30.0%,1596
Mississippi,Issaquena,99.6%,90.7%,8.9%,0.0%,0.0%,0.0%,0.0%,0.4%,44.9%,53.4%,22.8%,34.1%,6.1%,12.2%,6.9%,2.8%,6.1%,2.4%,6.5%,21.3,0.0%,11.3%,81.4%,7.3%,1598
Mississippi,Itawamba,94.3%,83.2%,11.1%,0.0%,0.9%,0.1%,0.8%,3.9%,43.5%,51.9%,10.4%,13.7%,10.9%,11.4%,12.2%,20.3%,11.9%,5.0%,4.3%,25.5,0.8%,13.3%,49.3%,36.6%,1601
Mississippi,Jackson,95.6%,87.5%,8.1%,0.1%,0.5%,0.0%,1.2%,2.6%,62.4%,30.4%,9.7%,14.6%,18.3%,15.7%,6.3%,15.8%,7.2%,6.3%,6.2%,25.5,1.0%,20.0%,37.6%,41.4%,1605
Mississippi,Jasper,97.6%,92.9%,4.7%,0.0%,1.3%,0.0%,0.3%,0.8%,34.2%,62.8%,7.1%,5.5%,10.4%,16.4%,6.8%,23.2%,8.1%,9.9%,12.6%,34.3,1.7%,25.3%,35.5%,37.5%,1607
Mississippi,Jefferson,92.7%,85.4%,7.3%,0.0%,1.2%,0.0%,3.7%,2.4%,45.2%,53.6%,22.8%,11.8%,10.8%,2.4%,13.8%,12.3%,7.3%,13.7%,5.0%,25.5,8.5%,18.7%,43.9%,28.9%,1610
Mississippi,Jefferson Davis,94.2%,90.6%,3.6%,1.0%,0.4%,0.0%,1.8%,2.6%,29.3%,66.5%,13.5%,5.2%,12.8%,10.5%,3.6%,17.0%,6.6%,11.3%,19.5%,33.7,0.6%,22.8%,28.5%,48.2%,1612
Mississippi,Jones,95.0%,86.0%,9.0%,0.2%,1.4%,0.0%,2.2%,1.1%,78.0%,18.9%,12.4%,12.2%,25.4%,21.0%,3.7%,10.8%,5.0%,4.0%,5.4%,23.8,2.5%,19.6%,37.1%,40.8%,1615
Mississippi,Kemper,92.2%,86.5%,5.7%,0.0%,1.5%,0.0%,4.5%,1.8%,35.8%,62.8%,13.4%,8.6%,7.4%,6.5%,3.5%,19.7%,9.7%,10.7%,20.6%,34.1,2.4%,17.6%,23.0%,57.1%,1616
Mississippi,Lafayette,91.2%,82.5%,8.8%,1.0%,2.0%,0.4%,0.4%,5.0%,82.3%,13.6%,21.5%,24.5%,21.0%,9.1%,3.7%,5.6%,2.1%,2.3%,10.2%,22.7,2.5%,21.1%,44.8%,31.7%,1620
Mississippi,Lamar,92.4%,84.2%,8.2%,0.1%,0.9%,0.0%,4.5%,2.2%,47.2%,49.9%,13.4%,15.8%,18.4%,13.3%,7.3%,14.9%,5.5%,3.9%,7.4%,26.0,1.8%,18.1%,44.9%,35.2%,1623
Mississippi,Lauderdale,93.0%,82.9%,10.1%,0.0%,1.8%,0.1%,2.4%,2.8%,89.5%,7.7%,14.2%,23.2%,18.0%,18.7%,6.3%,9.6%,2.5%,2.9%,4.5%,21.2,3.0%,20.2%,41.9%,34.8%,1628
Mississippi,Lawrence,94.2%,87.8%,6.4%,1.1%,0.3%,0.0%,1.4%,3.0%,43.4%,47.5%,16.0%,7.3%,9.4%,5.0%,1.7%,18.7%,7.2%,11.7%,23.0%,38.9,1.6%,21.9%,35.4%,41.0%,1632
Mississippi,Leake,94.5%,81.3%,13.2%,0.5%,1.1%,0.2%,1.1%,2.6%,49.4%,47.6%,11.3%,16.5%,9.9%,11.6%,3.7%,10.7%,6.3%,11.7%,18.2%,31.6,3.1%,24.0%,34.4%,38.4%,1636
Mississippi,Lee,96.0%,88.5%,7.5%,0.0%,0.4%,0.0%,0.8%,2.7%,81.1%,17.5%,10.2%,20.5%,23.6%,18.0%,6.2%,11.3%,3.7%,3.5%,3.1%,20.6,2.0%,18.4%,41.7%,37.9%,1638
Mississippi,Leflore,95.0%,88.7%,6.3%,0.8%,0.7%,0.0%,0.1%,3.4%,84.7%,13.1%,23.6%,42.2%,14.9%,7.2%,1.4%,2.4%,1.7%,2.1%,4.5%,17.4,2.3%,22.1%,50.7%,24.9%,1643
Mississippi,Lincoln,94.8%,90.6%,4.2%,0.3%,1.1%,0.0%,0.8%,3.0%,65.1%,26.2%,21.5%,17.5%,14.4%,8.9%,2.7%,14.3%,2.3%,2.3%,16.1%,28.5,2.1%,16.3%,46.0%,35.6%,1645
Mississippi,Lowndes,92.9%,86.7%,6.2%,0.0%,1.1%,0.2%,1.3%,4.5%,81.8%,13.7%,14.5%,14.8%,24.2%,20.3%,6.4%,9.0%,3.4%,2.6%,4.7%,20.8,2.3%,15.4%,41.2%,41.1%,1647
Mississippi,Madison,93.5%,84.5%,9.0%,0.1%,0.6%,0.1%,1.2%,4.6%,54.4%,43.6%,9.8%,14.1%,19.1%,18.4%,9.6%,16.2%,4.1%,5.6%,3.1%,23.1,1.0%,19.1%,43.1%,36.7%,1651
Mississippi,Marion,92.7%,83.2%,9.6%,0.3%,1.0%,0.0%,3.6%,2.3%,66.7%,24.6%,17.7%,20.4%,13.3%,7.2%,3.1%,9.4%,3.9%,8.0%,17.0%,36.7,1.4%,22.1%,36.3%,40.2%,1653
Mississippi,Marshall,94.9%,86.8%,8.0%,0.0%,0.5%,0.0%,0.6%,4.0%,37.5%,25.0%,6.4%,9.8%,11.7%,12.9%,3.6%,22.1%,15.1%,14.3%,4.2%,28.5,1.2%,20.2%,31.7%,47.0%,1655
Mississippi,Monroe,92.3%,85.4%,6.9%,0.3%,0.8%,0.0%,0.2%,6.5%,53.2%,44.7%,13.4%,17.2%,9.2%,13.2%,12.8%,10.6%,10.9%,7.3%,5.3%,24.8,2.9%,15.0%,36.5%,45.5%,1656
Mississippi,Montgomery,93.6%,85.1%,8.6%,0.0%,3.1%,0.0%,0.5%,2.8%,43.9%,53.2%,19.2%,12.4%,9.5%,7.8%,8.2%,21.1%,7.4%,5.1%,9.4%,28.1,2.1%,25.0%,35.0%,38.0%,1658
Mississippi,Neshoba,93.4%,77.0%,16.4%,0.3%,2.0%,0.0%,3.3%,1.0%,71.1%,25.7%,25.1%,16.6%,9.9%,10.7%,3.6%,11.3%,2.8%,8.3%,11.7%,26.3,2.2%,26.7%,29.2%,41.8%,1661
Mississippi,Newton,94.3%,83.7%,10.6%,0.2%,2.7%,0.0%,1.0%,1.8%,47.6%,51.0%,12.8%,12.3%,12.7%,11.5%,5.6%,17.3%,11.5%,7.7%,8.7%,27.4,2.2%,18.0%,32.0%,47.8%,1663
Mississippi,Noxubee,97.0%,85.5%,11.5%,0.0%,1.0%,0.0%,1.4%,0.6%,50.5%,47.8%,20.9%,15.2%,8.1%,8.0%,3.9%,16.0%,9.1%,8.7%,10.1%,26.0,2.7%,22.6%,32.7%,42.1%,1666
Mississippi,Oktibbeha,90.3%,81.9%,8.4%,0.6%,1.6%,0.2%,1.1%,6.3%,78.1%,20.1%,21.1%,24.8%,22.3%,9.2%,4.5%,8.3%,3.0%,2.2%,4.6%,19.0,1.0%,21.5%,45.7%,31.8%,1668
Mississippi,Panola,96.3%,89.5%,6.9%,0.0%,0.9%,0.0%,0.1%,2.6%,58.2%,36.6%,10.5%,11.3%,19.9%,13.0%,4.8%,16.8%,4.4%,9.8%,9.5%,26.6,1.2%,13.8%,39.1%,46.0%,1671
Mississippi,Pearl River,92.9%,78.8%,14.1%,0.0%,1.5%,0.0%,2.1%,3.6%,51.1%,15.4%,12.7%,11.4%,11.5%,9.0%,5.8%,11.0%,8.0%,9.8%,20.8%,34.0,1.4%,15.0%,39.3%,44.2%,1676
Mississippi,Perry,91.8%,82.0%,9.8%,0.0%,0.5%,0.0%,6.2%,1.5%,44.5%,49.0%,19.1%,9.7%,9.4%,6.6%,2.5%,20.6%,10.0%,11.6%,10.5%,30.8,1.2%,16.9%,28.8%,53.1%,1679
Mississippi,Pike,94.2%,85.0%,9.2%,0.3%,1.2%,0.0%,2.9%,1.3%,82.1%,8.4%,20.9%,25.2%,14.4%,11.5%,3.9%,9.2%,2.0%,5.6%,7.3%,23.5,2.7%,28.3%,30.3%,38.7%,1680
Mississippi,Pontotoc,96.8%,85.2%,11.6%,0.0%,0.7%,0.0%,1.5%,0.9%,53.2%,44.8%,11.0%,13.0%,13.4%,15.3%,8.9%,19.4%,7.0%,5.0%,7.0%,25.6,2.3%,13.9%,34.8%,49.0%,1682
Mississippi,Prentiss,96.6%,88.1%,8.5%,0.0%,0.5%,0.0%,0.9%,2.0%,55.5%,41.3%,19.2%,17.0%,14.1%,10.7%,6.6%,12.2%,4.7%,8.6%,6.9%,25.6,2.0%,11.9%,39.5%,46.7%,1684
Mississippi,Quitman,92.2%,84.7%,7.5%,0.0%,2.8%,0.0%,0.8%,4.2%,40.9%,55.1%,14.9%,11.8%,12.1%,6.5%,6.4%,12.5%,14.5%,13.9%,7.5%,27.7,4.4%,22.5%,34.5%,38.6%,1685
Mississippi,Rankin,94.3%,86.3%,8.0%,0.3%,1.0%,0.0%,0.8%,3.6%,56.5%,42.0%,9.6%,10.0%,15.0%,17.1%,9.1%,20.2%,7.2%,6.8%,5.0%,25.6,0.5%,14.7%,41.2%,43.6%,1690
Mississippi,Scott,93.2%,79.0%,14.2%,1.2%,1.5%,0.0%,1.5%,2.7%,62.2%,37.0%,16.1%,11.6%,10.4%,12.1%,6.5%,12.3%,9.9%,12.9%,8.2%,27.5,3.0%,15.1%,41.2%,40.8%,1692
Mississippi,Sharkey,95.4%,81.9%,13.5%,0.2%,2.1%,2.3%,0.0%,0.0%,63.7%,36.3%,30.3%,21.2%,10.2%,1.1%,0.6%,2.0%,4.6%,22.0%,7.9%,23.4,1.4%,27.7%,36.1%,34.8%,1695
Mississippi,Simpson,93.6%,82.6%,11.0%,0.0%,2.3%,0.0%,1.7%,2.3%,47.8%,45.3%,17.2%,10.8%,13.9%,5.5%,1.6%,15.0%,6.9%,14.3%,14.7%,32.8,1.5%,17.1%,39.8%,41.6%,1698
Mississippi,Smith,91.3%,85.5%,5.8%,0.0%,1.8%,0.0%,1.9%,5.0%,41.8%,51.9%,15.2%,13.2%,7.6%,10.5%,3.7%,16.2%,6.8%,8.6%,18.1%,35.7,1.7%,16.8%,48.8%,32.8%,1709
Mississippi,Stone,93.7%,83.2%,10.5%,0.3%,2.0%,0.0%,3.7%,0.4%,57.7%,37.7%,14.3%,14.0%,9.6%,10.0%,1.1%,8.5%,8.3%,18.0%,16.4%,35.8,0.5%,15.2%,36.5%,47.9%,1712
Mississippi,Sunflower,93.6%,83.0%,10.6%,0.4%,2.2%,0.2%,0.2%,3.4%,68.2%,31.1%,31.5%,16.5%,17.4%,8.9%,4.3%,8.4%,4.7%,4.3%,3.9%,18.8,4.7%,27.8%,35.6%,31.9%,1721
Mississippi,Tallahatchie,90.3%,78.2%,12.1%,1.7%,1.6%,0.0%,0.0%,6.3%,56.4%,43.5%,18.7%,7.5%,17.5%,9.9%,7.2%,16.6%,3.8%,10.3%,8.5%,26.4,2.9%,15.5%,26.9%,54.7%,1725
Mississippi,Tate,95.9%,90.0%,5.9%,0.3%,0.5%,0.0%,0.4%,2.9%,35.5%,39.4%,11.0%,7.3%,11.2%,8.5%,2.2%,15.2%,10.2%,23.6%,10.8%,33.8,1.5%,14.5%,42.9%,41.1%,1727
Mississippi,Tippah,94.4%,85.0%,9.4%,0.0%,1.0%,0.0%,0.2%,4.4%,67.1%,27.6%,16.1%,17.2%,13.0%,15.4%,3.4%,16.2%,5.9%,5.7%,7.1%,24.0,2.0%,19.0%,42.1%,36.8%,1730
Mississippi,Tishomingo,98.2%,89.6%,8.6%,0.0%,0.3%,0.0%,0.2%,1.3%,57.9%,27.8%,21.0%,9.3%,19.4%,13.7%,4.1%,13.0%,7.7%,6.2%,5.5%,22.5,0.4%,17.7%,32.1%,49.8%,1732
Mississippi,Tunica,94.5%,84.1%,10.3%,0.0%,1.7%,0.0%,2.5%,1.4%,66.5%,20.9%,19.8%,13.7%,12.6%,10.0%,4.0%,16.4%,10.2%,7.4%,5.9%,24.7,5.8%,28.9%,48.2%,17.2%,1735
Mississippi,Union,98.4%,89.1%,9.2%,0.0%,0.4%,0.0%,0.9%,0.4%,54.6%,43.3%,14.7%,17.8%,12.8%,16.2%,6.1%,16.4%,6.6%,5.6%,3.8%,24.0,1.1%,12.8%,40.4%,45.7%,1737
Mississippi,Walthall,96.2%,81.1%,15.1%,0.0%,0.1%,0.1%,0.0%,3.6%,46.0%,44.9%,18.2%,8.1%,11.5%,18.3%,8.2%,9.7%,9.2%,4.0%,12.8%,31.9,0.3%,10.1%,35.2%,54.4%,1740
Mississippi,Warren,95.9%,87.9%,8.0%,0.2%,0.7%,0.1%,1.5%,1.6%,84.9%,11.9%,15.6%,20.2%,24.9%,13.8%,4.1%,7.2%,3.6%,6.0%,4.7%,21.2,4.7%,21.1%,35.5%,38.7%,1746
Mississippi,Washington,95.4%,85.5%,9.9%,0.2%,1.8%,0.1%,1.2%,1.3%,89.1%,8.5%,21.5%,21.5%,26.1%,12.4%,2.6%,6.6%,3.7%,2.8%,2.8%,17.8,4.9%,27.7%,36.0%,31.4%,1750
Mississippi,Wayne,89.2%,82.6%,6.6%,1.1%,1.3%,0.0%,4.2%,4.2%,66.7%,26.3%,17.8%,12.2%,16.4%,12.2%,5.2%,12.5%,2.9%,7.6%,13.2%,32.2,2.2%,12.1%,40.5%,45.2%,1753
Mississippi,Webster,94.8%,91.6%,3.2%,0.0%,1.0%,0.0%,2.5%,1.7%,41.8%,57.3%,14.1%,12.8%,8.8%,5.6%,3.9%,20.8%,14.8%,10.6%,8.6%,31.3,0.4%,9.0%,32.9%,57.7%,1756
Mississippi,Wilkinson,91.1%,85.9%,5.2%,0.0%,0.0%,0.0%,1.8%,7.1%,50.0%,10.1%,22.3%,14.1%,5.7%,6.4%,0.6%,10.6%,8.2%,12.3%,19.7%,31.1,0.6%,41.9%,39.7%,17.8%,1757
Mississippi,Winston,91.9%,80.2%,11.8%,0.2%,1.4%,0.3%,5.0%,1.2%,63.9%,32.7%,23.3%,14.0%,13.8%,12.0%,2.5%,10.1%,9.1%,7.0%,8.2%,24.4,4.9%,19.7%,33.3%,42.0%,1758
Mississippi,Yalobusha,96.8%,91.8%,5.0%,0.3%,0.4%,0.0%,0.4%,2.2%,40.7%,54.7%,18.1%,13.2%,12.6%,6.0%,7.5%,22.0%,5.7%,4.7%,10.1%,27.2,0.9%,18.2%,49.0%,31.8%,1759
Mississippi,Yazoo,95.7%,76.4%,19.2%,0.0%,0.7%,0.0%,1.6%,2.0%,56.4%,42.3%,18.8%,12.1%,12.3%,8.7%,4.1%,9.8%,6.6%,17.9%,9.7%,27.6,1.8%,27.5%,32.8%,37.9%,1760
Missouri,Adair,89.4%,75.7%,13.7%,0.3%,4.2%,0.2%,1.1%,4.8%,85.8%,12.4%,36.3%,23.8%,12.2%,8.8%,4.0%,5.4%,3.0%,2.7%,3.9%,16.6,2.0%,20.0%,42.7%,35.3%,1761
Missouri,Andrew,93.8%,85.4%,8.4%,0.0%,2.0%,0.2%,0.4%,3.5%,24.2%,72.1%,13.8%,11.6%,21.7%,20.0%,5.2%,15.7%,2.8%,3.2%,6.1%,23.3,0.9%,14.8%,40.0%,44.3%,1762
Missouri,Atchison,90.0%,81.1%,8.9%,0.4%,1.5%,0.0%,0.9%,7.1%,73.5%,10.6%,31.2%,14.0%,17.1%,11.0%,4.5%,8.6%,3.3%,5.3%,5.0%,19.8,2.2%,18.3%,39.6%,39.8%,1763
Missouri,Audrain,93.3%,85.0%,8.4%,0.1%,1.2%,0.0%,1.5%,3.9%,68.2%,31.2%,34.4%,13.6%,10.9%,7.1%,3.7%,9.8%,5.5%,8.0%,7.0%,22.9,3.0%,19.9%,35.2%,41.9%,1766
Missouri,Barry,90.1%,81.3%,8.8%,0.2%,2.0%,0.0%,1.2%,6.6%,69.2%,19.6%,23.1%,17.0%,14.2%,11.0%,5.1%,7.6%,3.4%,9.3%,9.1%,23.0,1.1%,16.2%,38.4%,44.2%,1767
Missouri,Barton,88.1%,80.2%,7.9%,0.0%,2.6%,0.0%,1.8%,7.4%,59.5%,26.9%,24.4%,15.6%,12.3%,8.9%,3.7%,13.3%,7.2%,9.6%,5.1%,23.6,2.7%,14.5%,35.0%,47.8%,1771
Missouri,Bates,88.2%,74.7%,13.5%,0.0%,1.4%,0.0%,1.2%,9.3%,51.2%,37.1%,22.6%,6.6%,9.3%,8.2%,3.5%,9.7%,7.4%,11.1%,21.6%,31.9,2.6%,10.5%,31.6%,55.3%,1776
Missouri,Benton,91.0%,79.1%,11.9%,0.1%,2.7%,0.4%,2.1%,3.6%,56.2%,40.8%,22.3%,14.9%,10.9%,9.2%,3.0%,10.8%,6.1%,7.6%,15.2%,29.7,2.3%,15.1%,37.1%,45.5%,1778
Missouri,Bollinger,90.9%,76.0%,14.9%,0.6%,2.8%,0.0%,1.2%,4.5%,37.8%,61.5%,13.3%,8.4%,11.0%,5.6%,3.9%,12.5%,11.8%,18.3%,15.1%,33.9,4.1%,15.7%,35.3%,44.9%,1781
Missouri,Boone,87.5%,77.2%,10.3%,0.8%,4.3%,0.9%,0.6%,5.9%,89.6%,9.9%,16.8%,22.7%,25.6%,13.9%,4.7%,7.0%,3.3%,3.1%,2.7%,18.6,2.5%,21.5%,42.9%,33.0%,1783
Missouri,Buchanan,92.8%,82.9%,9.9%,0.6%,1.3%,0.0%,1.4%,3.9%,87.0%,8.9%,24.2%,28.2%,22.9%,9.2%,1.8%,4.0%,1.6%,3.4%,4.7%,16.8,3.9%,21.3%,39.4%,35.5%,1789
Missouri,Butler,92.2%,79.7%,12.5%,0.7%,1.4%,0.4%,0.6%,4.6%,87.5%,10.8%,22.6%,25.0%,16.5%,12.8%,4.0%,9.8%,1.6%,2.7%,4.9%,19.2,2.3%,21.3%,42.8%,33.6%,1792
Missouri,Caldwell,91.8%,80.5%,11.3%,0.0%,2.6%,0.0%,0.9%,4.7%,35.1%,61.6%,13.4%,8.2%,12.2%,9.6%,3.5%,11.9%,9.7%,12.7%,18.7%,33.7,5.4%,14.2%,38.2%,42.2%,1795
Missouri,Callaway,92.2%,82.8%,9.5%,0.6%,1.7%,0.1%,0.8%,4.6%,48.7%,50.7%,16.3%,13.8%,15.7%,15.2%,8.7%,12.6%,7.9%,5.2%,4.6%,23.0,0.5%,14.4%,35.7%,49.4%,1799
Missouri,Camden,91.0%,82.7%,8.3%,0.5%,1.0%,0.0%,0.8%,6.7%,77.5%,20.7%,14.9%,15.3%,19.7%,17.7%,4.2%,11.3%,4.1%,6.4%,6.4%,23.7,1.7%,16.3%,42.7%,39.3%,1803
Missouri,Cape Girardeau,92.2%,80.6%,11.6%,0.3%,1.6%,0.1%,1.2%,4.7%,85.1%,13.4%,19.2%,21.1%,19.8%,15.4%,5.0%,6.8%,4.2%,3.6%,4.9%,20.3,1.7%,18.9%,43.6%,35.7%,1808
Missouri,Carroll,87.9%,79.4%,8.5%,0.0%,0.9%,0.0%,0.9%,10.3%,64.4%,33.1%,31.1%,8.6%,12.4%,11.3%,3.5%,8.4%,7.0%,6.2%,11.6%,26.8,2.8%,11.5%,41.3%,44.4%,1822
Missouri,Carter,84.4%,72.8%,11.6%,0.1%,1.5%,0.0%,0.1%,13.9%,62.7%,35.5%,31.7%,7.4%,9.2%,6.4%,6.6%,11.5%,2.9%,13.5%,10.8%,30.5,6.3%,16.1%,35.3%,42.3%,1001
Missouri,Cass,91.9%,84.7%,7.2%,0.0%,1.1%,0.1%,0.7%,6.2%,42.6%,37.2%,12.4%,9.1%,9.9%,12.4%,7.6%,14.4%,12.9%,14.2%,7.1%,29.1,1.4%,11.1%,41.8%,45.7%,1004
Missouri,Cedar,86.9%,80.4%,6.5%,0.5%,2.2%,0.0%,1.9%,8.5%,64.9%,32.4%,35.9%,7.7%,6.5%,10.7%,7.9%,7.6%,5.4%,5.6%,12.6%,26.7,4.2%,17.4%,36.9%,41.4%,1007
Missouri,Chariton,89.0%,78.8%,10.2%,0.9%,2.7%,0.1%,1.1%,6.2%,52.8%,45.3%,29.4%,13.1%,7.9%,11.2%,4.9%,11.5%,7.4%,5.2%,9.4%,24.3,1.7%,11.9%,38.2%,48.2%,1011
Missouri,Christian,93.4%,85.1%,8.2%,0.0%,1.6%,0.1%,0.7%,4.3%,34.5%,64.5%,10.5%,9.9%,14.3%,17.3%,9.9%,20.3%,8.1%,6.7%,3.1%,25.0,1.0%,13.7%,42.0%,43.2%,1014
Missouri,Clark,83.7%,73.5%,10.2%,0.1%,4.8%,0.0%,2.6%,8.8%,53.2%,8.8%,21.0%,10.7%,13.4%,9.7%,8.1%,12.1%,4.8%,12.0%,8.2%,26.7,7.1%,12.7%,36.0%,44.1%,1015
Missouri,Clay,90.9%,82.5%,8.4%,0.3%,1.2%,0.0%,1.0%,6.5%,50.2%,36.6%,11.6%,13.1%,18.2%,17.4%,8.5%,13.0%,8.2%,7.1%,2.9%,23.3,2.3%,17.1%,43.2%,37.5%,1018
Missouri,Clinton,92.5%,82.9%,9.6%,0.8%,0.4%,0.0%,0.5%,5.9%,31.8%,62.7%,18.1%,8.2%,7.8%,7.8%,5.4%,14.2%,10.5%,16.8%,11.1%,30.5,3.0%,12.3%,38.6%,46.1%,1021
Missouri,Cole,92.9%,84.7%,8.3%,0.4%,1.5%,0.0%,1.4%,3.8%,86.2%,13.0%,19.4%,23.2%,23.5%,12.3%,4.6%,6.8%,4.4%,3.0%,2.7%,18.4,2.6%,19.8%,41.6%,36.0%,1022
Missouri,Cooper,91.0%,80.3%,10.7%,0.1%,1.2%,0.1%,2.4%,5.1%,46.4%,52.3%,21.3%,11.6%,5.8%,9.8%,6.6%,17.4%,9.0%,10.5%,8.0%,27.5,2.0%,16.3%,37.4%,44.4%,1025
Missouri,Crawford,92.7%,78.7%,14.1%,0.4%,1.4%,0.3%,0.7%,4.5%,57.8%,40.7%,17.6%,18.8%,12.7%,11.6%,2.9%,9.5%,6.3%,5.5%,15.2%,27.7,2.2%,19.0%,34.1%,44.6%,1028
Missouri,Dade,85.5%,76.8%,8.7%,0.3%,2.1%,0.2%,2.5%,9.4%,62.6%,36.1%,28.6%,12.3%,12.1%,5.3%,3.1%,6.6%,8.1%,12.1%,11.8%,26.3,1.2%,15.0%,33.6%,50.2%,1030
Missouri,Dallas,87.8%,77.6%,10.2%,0.1%,1.2%,0.3%,5.2%,5.5%,39.6%,55.2%,13.2%,11.0%,8.7%,10.8%,10.2%,8.6%,13.3%,17.8%,6.4%,28.4,3.4%,15.2%,30.6%,50.8%,1032
Missouri,Daviess,87.5%,74.7%,12.8%,0.0%,2.4%,0.3%,2.8%,7.0%,46.8%,50.2%,17.1%,14.3%,11.8%,12.7%,4.6%,11.6%,2.9%,10.0%,14.9%,30.6,8.6%,10.0%,30.7%,50.8%,1036
Missouri,DeKalb,90.3%,82.7%,7.6%,0.0%,2.5%,0.2%,0.5%,6.5%,37.9%,57.7%,16.0%,11.1%,10.1%,13.3%,10.0%,11.0%,11.0%,5.5%,11.9%,30.5,1.4%,15.9%,29.8%,52.9%,1038
Missouri,Dent,93.7%,86.4%,7.3%,0.3%,1.0%,0.0%,0.9%,4.1%,70.1%,29.8%,25.7%,16.2%,12.3%,10.4%,1.7%,8.9%,6.4%,10.2%,8.1%,23.4,1.1%,10.0%,48.6%,40.3%,1040
Missouri,Douglas,90.7%,81.8%,8.9%,0.2%,1.5%,0.2%,2.5%,5.0%,59.3%,37.1%,26.9%,14.2%,10.9%,11.9%,2.9%,9.6%,4.3%,9.5%,9.8%,23.7,0.9%,17.7%,41.5%,39.9%,1043
Missouri,Dunklin,92.8%,77.7%,15.1%,0.2%,2.2%,0.7%,0.8%,3.3%,68.0%,17.7%,36.9%,11.7%,8.5%,9.4%,3.5%,8.5%,6.5%,8.4%,6.6%,20.9,3.7%,25.1%,37.0%,34.2%,1045
Missouri,Franklin,91.9%,82.2%,9.7%,0.2%,1.4%,0.1%,0.6%,5.8%,62.8%,36.0%,15.7%,12.5%,11.9%,9.9%,5.3%,10.9%,7.9%,12.0%,13.9%,29.9,1.5%,12.7%,38.8%,47.0%,1047
Missouri,Gasconade,92.0%,83.2%,8.8%,0.0%,1.7%,0.0%,1.6%,4.6%,59.7%,40.0%,20.8%,16.5%,12.4%,8.6%,2.4%,8.7%,7.7%,9.3%,13.6%,27.8,1.9%,10.8%,38.8%,48.4%,1049
Missouri,Gentry,86.2%,76.7%,9.6%,1.5%,4.8%,0.0%,1.3%,6.2%,69.2%,29.4%,38.0%,12.3%,8.4%,5.6%,3.6%,6.4%,5.6%,8.3%,11.8%,23.5,3.2%,17.9%,37.9%,41.0%,1052
Missouri,Greene,90.6%,81.5%,9.1%,0.9%,1.8%,0.4%,0.8%,5.6%,92.2%,7.1%,12.4%,18.5%,22.3%,21.7%,6.4%,10.4%,2.6%,3.0%,2.9%,19.9,2.2%,23.5%,44.9%,29.5%,1054
