County,State,Use car/truck/van to go to work,Drove alone,Carpooled,Public Transportation,Walked,Bicycle,Taxicab/motorcycle/other means,Worked from home,Worked within county of residence,Worked outside county of residence,Travel time to work less than 10 minutes,Travel time to work 10 to 14 minutes,Travel time to work 15 to 19 minutes,Travel time to work 20 to 24 minutes,Travel time to work 25 to 29 minutes,Travel time to work 30 to 34 minutes,Travel time to work 35 to 44 minutes,Travel time to work 45 to 59 minutes,Travel time to work 60+ minutes,Mean travel time to work (minutes),0 vehicles available,1 vehicles available,2 vehicles available,3+ vehicles available
Coahoma County,Mississippi,91.8%,72.3%,19.5%,2.1%,2.1%,0.3%,0.3%,3.3%,79.2%,19.2%,27.3%,23.8%,13.2%,7.8%,4.1%,6.3%,4.2%,5.5%,7.7%,20.1,7.2%,29.2%,38.1%,25.5%
Copiah County,Mississippi,93.2%,81.3%,11.9%,0.8%,3.1%,0.0%,0.4%,2.4%,56.3%,41.7%,22.8%,11.9%,13.1%,10.0%,3.4%,13.5%,7.8%,9.7%,7.8%,25.0,2.9%,14.8%,37.7%,44.6%
Covington County,Mississippi,95.0%,84.0%,11.0%,0.6%,1.8%,0.0%,1.5%,1.1%,48.6%,47.9%,13.9%,17.7%,13.0%,9.2%,6.0%,15.8%,6.7%,7.4%,10.3%,29.1,1.2%,16.5%,40.9%,41.4%
DeSoto County,Mississippi,96.0%,86.5%,9.5%,0.3%,0.5%,0.1%,0.9%,2.3%,39.9%,7.3%,10.2%,10.3%,14.2%,17.6%,9.1%,18.9%,8.6%,7.2%,3.9%,25.5,1.1%,17.6%,46.5%,34.9%
Forrest County,Mississippi,93.0%,82.9%,10.0%,0.3%,2.4%,0.5%,1.6%,2.3%,72.1%,26.2%,16.6%,18.8%,22.7%,15.4%,4.8%,12.5%,2.1%,2.3%,4.8%,20.7,3.3%,25.0%,44.4%,27.3%
Franklin County,Mississippi,89.6%,76.9%,12.7%,1.7%,1.4%,0.0%,3.6%,3.7%,44.0%,42.1%,14.1%,9.3%,9.1%,12.3%,5.9%,12.8%,4.8%,10.0%,21.9%,42.8,0.9%,15.7%,42.7%,40.7%
George County,Mississippi,94.1%,75.6%,18.5%,0.3%,0.6%,0.0%,0.9%,4.1%,51.0%,33.7%,13.8%,12.7%,11.6%,11.8%,1.8%,7.2%,5.2%,13.1%,22.6%,34.4,0.8%,12.7%,37.4%,49.0%
Greene County,Mississippi,95.6%,79.2%,16.4%,1.6%,1.2%,0.0%,0.8%,0.9%,40.3%,40.8%,13.4%,13.2%,8.9%,11.6%,5.0%,15.9%,3.6%,7.2%,21.2%,32.9,2.2%,13.6%,46.0%,38.2%
Grenada County,Mississippi,95.0%,81.8%,13.2%,0.8%,0.9%,0.3%,1.2%,1.9%,83.2%,15.3%,26.6%,20.6%,15.7%,11.8%,3.7%,8.3%,2.2%,3.9%,7.4%,20.7,4.4%,23.5%,41.3%,30.9%
Hancock County,Mississippi,94.0%,81.8%,12.2%,0.1%,1.4%,0.2%,1.1%,3.2%,58.3%,30.5%,13.1%,10.5%,11.8%,13.5%,8.2%,16.3%,6.4%,8.8%,11.5%,28.8,0.9%,14.4%,45.5%,39.2%
Harrison County,Mississippi,92.8%,79.9%,13.0%,0.5%,2.9%,0.2%,1.3%,2.3%,86.9%,10.1%,13.8%,15.1%,19.1%,19.2%,6.5%,12.6%,4.5%,4.5%,4.6%,22.3,1.5%,22.6%,40.2%,35.7%
Hinds County,Mississippi,93.8%,83.4%,10.4%,0.6%,1.6%,0.1%,1.0%,2.9%,72.3%,26.7%,10.3%,13.1%,20.7%,21.1%,6.8%,18.4%,3.4%,3.9%,2.3%,21.6,3.3%,25.8%,38.6%,32.4%
Holmes County,Mississippi,92.0%,77.0%,15.1%,2.1%,2.6%,0.0%,2.4%,0.9%,53.8%,43.4%,19.8%,9.3%,13.4%,8.4%,3.7%,12.5%,6.1%,11.1%,15.8%,30.5,4.4%,31.6%,36.9%,27.1%
Humphreys County,Mississippi,89.6%,74.4%,15.2%,0.0%,7.0%,0.0%,0.6%,2.8%,74.7%,24.2%,28.9%,26.8%,9.6%,10.5%,4.0%,5.5%,3.7%,4.3%,6.5%,20.5,7.9%,30.0%,40.0%,22.1%
Issaquena County,Mississippi,89.5%,80.0%,9.5%,0.0%,1.7%,0.0%,4.0%,4.8%,39.8%,56.7%,27.6%,10.0%,19.5%,6.7%,4.4%,0.8%,12.7%,12.3%,6.0%,23.1,1.7%,19.8%,51.6%,27.0%
Itawamba County,Mississippi,95.3%,83.8%,11.6%,0.6%,1.6%,0.0%,1.3%,1.2%,47.0%,46.5%,14.8%,15.4%,13.0%,13.0%,9.7%,19.0%,4.2%,6.4%,4.5%,23.8,1.4%,14.3%,44.3%,39.9%
Jackson County,Mississippi,96.2%,84.8%,11.4%,0.3%,1.0%,0.2%,1.0%,1.1%,67.0%,27.3%,13.8%,12.7%,16.0%,15.4%,6.5%,16.8%,6.3%,7.5%,5.0%,24.6,1.6%,17.7%,42.0%,38.7%
Jasper County,Mississippi,96.8%,86.5%,10.3%,0.3%,0.3%,0.1%,1.5%,1.1%,40.6%,57.8%,13.5%,9.2%,15.5%,10.4%,6.1%,17.6%,10.2%,9.2%,8.2%,27.1,2.0%,18.2%,42.6%,37.2%
Jefferson County,Mississippi,92.4%,81.8%,10.6%,0.0%,0.0%,0.0%,0.0%,7.6%,53.3%,43.3%,15.1%,16.5%,10.7%,16.8%,7.7%,14.2%,7.5%,5.9%,5.7%,22.8,1.7%,19.8%,48.4%,30.2%
Jefferson Davis County,Mississippi,94.7%,85.4%,9.3%,0.0%,2.5%,0.0%,2.2%,0.6%,42.0%,52.8%,16.1%,11.8%,8.9%,17.8%,3.9%,7.4%,8.5%,9.2%,16.5%,34.5,1.1%,20.2%,32.8%,46.0%
Jones County,Mississippi,95.0%,85.3%,9.7%,0.6%,1.1%,0.0%,0.3%,2.9%,79.3%,18.4%,18.4%,17.6%,18.5%,15.4%,4.6%,10.5%,4.4%,4.4%,6.1%,23.3,1.4%,18.3%,42.7%,37.6%
Kemper County,Mississippi,92.4%,78.7%,13.7%,1.8%,0.5%,0.0%,3.4%,1.9%,37.4%,59.2%,15.9%,9.1%,7.2%,10.3%,5.2%,21.4%,10.1%,11.3%,9.5%,30.6,4.0%,12.8%,36.4%,46.9%
Lafayette County,Mississippi,91.1%,81.0%,10.2%,0.6%,3.1%,0.6%,1.1%,3.4%,83.9%,13.0%,31.6%,25.4%,15.8%,8.2%,2.9%,5.6%,1.7%,3.2%,5.6%,17.6,3.5%,22.0%,39.5%,35.0%
Lamar County,Mississippi,94.4%,85.6%,8.8%,0.1%,1.1%,0.1%,0.9%,3.5%,43.3%,53.5%,13.2%,14.6%,18.7%,18.1%,6.1%,13.7%,4.1%,5.0%,6.7%,24.9,1.2%,18.2%,43.7%,36.9%
Lauderdale County,Mississippi,89.7%,80.9%,8.8%,0.2%,4.5%,0.1%,0.9%,4.7%,92.2%,5.1%,16.3%,19.6%,25.3%,16.3%,5.4%,9.4%,2.0%,2.2%,3.6%,19.2,2.9%,24.0%,39.8%,33.3%
Lawrence County,Mississippi,90.9%,77.1%,13.8%,0.3%,4.4%,0.0%,1.8%,2.6%,50.0%,42.2%,20.4%,12.1%,10.5%,10.3%,6.5%,12.2%,3.3%,6.4%,18.3%,34.1,1.5%,13.8%,39.8%,44.9%
Leake County,Mississippi,95.2%,80.9%,14.3%,0.3%,0.4%,0.1%,1.3%,2.7%,53.2%,41.1%,17.7%,12.0%,13.2%,10.6%,5.7%,10.5%,8.9%,9.0%,12.4%,29.9,2.3%,18.8%,32.3%,46.5%
Lee County,Mississippi,96.7%,88.0%,8.7%,0.2%,1.1%,0.1%,0.5%,1.4%,87.8%,10.5%,14.0%,24.8%,21.3%,17.7%,4.0%,10.1%,2.4%,2.6%,3.1%,18.9,2.2%,20.1%,42.4%,35.3%
Leflore County,Mississippi,93.9%,77.8%,16.1%,0.1%,2.5%,0.3%,1.2%,1.9%,87.5%,12.2%,33.0%,33.7%,15.0%,5.3%,1.4%,3.0%,1.6%,2.2%,4.9%,15.9,5.7%,36.2%,36.9%,21.1%
Lincoln County,Mississippi,95.1%,85.6%,9.4%,0.2%,1.4%,0.0%,1.3%,2.0%,67.2%,24.6%,19.9%,16.5%,14.3%,13.8%,3.8%,12.0%,1.1%,4.1%,14.5%,30.5,1.3%,20.0%,39.3%,39.4%
Lowndes County,Mississippi,95.1%,84.0%,11.1%,0.4%,2.0%,0.1%,1.0%,1.3%,85.8%,10.6%,18.9%,19.0%,18.7%,17.3%,5.6%,9.5%,3.0%,3.9%,4.2%,20.0,2.6%,21.0%,42.0%,34.5%
Madison County,Mississippi,94.9%,86.0%,8.9%,0.1%,0.7%,0.1%,1.1%,3.3%,50.1%,48.7%,11.0%,13.2%,18.5%,19.7%,9.3%,15.2%,4.3%,4.7%,4.1%,22.8,1.5%,19.3%,45.5%,33.8%
Marion County,Mississippi,92.1%,78.8%,13.3%,0.3%,2.8%,0.0%,1.9%,2.9%,64.8%,24.5%,18.4%,15.9%,14.2%,10.2%,2.2%,12.2%,5.0%,5.6%,16.3%,35.7,0.9%,18.2%,43.4%,37.4%
Marshall County,Mississippi,95.5%,82.4%,13.1%,0.2%,2.0%,0.0%,1.5%,0.8%,34.2%,21.8%,10.0%,7.5%,9.9%,10.4%,4.8%,20.5%,12.2%,12.5%,12.2%,31.8,3.0%,18.7%,33.3%,45.0%
Monroe County,Mississippi,96.4%,84.5%,11.9%,0.4%,1.0%,0.0%,0.9%,1.3%,59.1%,37.9%,19.3%,15.7%,13.0%,13.5%,6.0%,12.8%,6.1%,8.5%,5.0%,23.5,1.7%,15.3%,43.3%,39.8%
Montgomery County,Mississippi,96.2%,81.7%,14.5%,0.0%,0.7%,0.4%,0.7%,2.0%,53.0%,45.6%,22.3%,17.0%,15.0%,7.1%,3.0%,14.2%,10.8%,3.6%,6.9%,23.3,3.4%,10.6%,42.1%,44.0%
Neshoba County,Mississippi,92.2%,75.5%,16.7%,1.2%,1.8%,0.0%,2.1%,2.7%,71.4%,26.0%,23.0%,17.7%,14.0%,12.8%,6.6%,8.3%,3.3%,6.5%,7.7%,23.6,2.5%,25.5%,39.9%,32.1%
Newton County,Mississippi,94.0%,81.8%,12.2%,0.1%,3.0%,0.3%,0.8%,1.9%,51.8%,46.1%,20.0%,11.3%,10.2%,11.3%,7.4%,11.3%,10.1%,10.3%,8.2%,26.9,1.9%,16.8%,44.4%,36.9%
Noxubee County,Mississippi,90.8%,76.0%,14.8%,3.0%,2.3%,0.0%,0.7%,3.1%,62.8%,33.5%,23.0%,11.5%,14.8%,8.5%,5.7%,7.4%,3.7%,7.9%,17.6%,27.6,3.5%,21.7%,38.0%,36.9%
Oktibbeha County,Mississippi,91.0%,79.4%,11.5%,0.8%,3.2%,1.7%,0.7%,2.6%,81.0%,18.1%,29.5%,21.2%,19.1%,11.8%,2.3%,7.7%,2.2%,2.4%,3.9%,17.2,2.9%,22.0%,43.8%,31.4%
Panola County,Mississippi,96.9%,83.8%,13.1%,0.0%,0.3%,0.0%,1.6%,1.1%,61.7%,30.2%,14.3%,15.6%,17.0%,9.6%,6.8%,12.3%,5.5%,7.9%,11.0%,25.5,2.7%,20.8%,38.8%,37.8%
Pearl River County,Mississippi,92.6%,79.3%,13.3%,0.3%,2.1%,0.0%,1.4%,3.6%,54.5%,18.1%,13.6%,11.9%,12.3%,13.3%,3.1%,11.7%,5.4%,8.9%,19.8%,34.3,1.3%,16.6%,44.6%,37.5%
Perry County,Mississippi,93.5%,78.8%,14.7%,0.8%,2.0%,0.0%,1.6%,2.0%,37.0%,60.4%,13.4%,11.5%,6.5%,9.0%,6.5%,16.8%,11.3%,14.7%,10.1%,32.4,1.8%,12.4%,43.4%,42.5%
Pike County,Mississippi,89.9%,80.1%,9.8%,0.6%,2.9%,0.0%,3.5%,3.0%,81.1%,9.6%,23.6%,20.4%,20.1%,10.1%,3.5%,6.8%,2.3%,3.4%,9.7%,24.1,3.9%,23.1%,38.9%,34.1%
Pontotoc County,Mississippi,96.1%,85.3%,10.8%,0.2%,1.3%,0.0%,0.9%,1.5%,53.8%,44.8%,14.5%,14.3%,15.8%,14.1%,6.1%,14.4%,6.8%,8.8%,5.4%,25.1,0.8%,15.0%,40.5%,43.7%
Prentiss County,Mississippi,96.9%,89.2%,7.7%,0.3%,1.6%,0.0%,0.6%,0.7%,55.0%,42.4%,19.6%,16.2%,16.4%,11.3%,6.2%,11.2%,5.4%,11.2%,2.5%,21.5,1.4%,14.6%,39.5%,44.5%
Quitman County,Mississippi,94.4%,76.2%,18.2%,0.3%,4.1%,0.0%,0.3%,0.9%,50.4%,46.5%,25.2%,12.7%,12.7%,7.8%,5.6%,10.4%,5.8%,11.3%,8.5%,23.9,4.4%,27.6%,37.5%,30.4%
Rankin County,Mississippi,95.4%,86.5%,8.9%,0.2%,0.5%,0.1%,1.1%,2.7%,50.1%,48.2%,9.8%,12.1%,16.9%,18.2%,8.2%,19.3%,6.3%,5.2%,3.9%,24.1,1.2%,17.1%,47.7%,34.0%
Scott County,Mississippi,96.7%,77.5%,19.2%,0.0%,0.9%,0.2%,1.2%,1.0%,68.6%,30.3%,17.9%,12.8%,19.4%,10.4%,4.1%,14.8%,5.7%,8.0%,6.9%,23.3,2.6%,17.2%,38.2%,42.0%
Sharkey County,Mississippi,87.5%,68.0%,19.5%,1.4%,8.7%,0.0%,0.0%,2.5%,73.9%,25.3%,47.1%,20.9%,7.3%,2.5%,0.7%,4.8%,2.7%,5.1%,8.9%,16.9,4.9%,35.3%,43.2%,16.5%
Simpson County,Mississippi,92.4%,77.3%,15.1%,0.8%,2.7%,0.0%,2.0%,2.2%,51.2%,44.9%,14.5%,12.8%,14.9%,7.1%,2.1%,10.1%,4.5%,13.1%,20.9%,35.2,3.0%,15.6%,39.1%,42.3%
Smith County,Mississippi,91.3%,80.2%,11.1%,0.3%,1.5%,0.0%,3.2%,3.7%,42.1%,55.7%,18.5%,8.6%,9.1%,13.0%,7.3%,11.5%,9.4%,9.6%,12.9%,32.3,1.3%,14.1%,36.4%,48.3%
Stone County,Mississippi,93.4%,80.0%,13.3%,0.3%,1.5%,0.0%,1.3%,3.6%,58.6%,35.4%,17.2%,19.3%,13.2%,8.2%,5.1%,10.8%,4.5%,11.5%,10.1%,27.5,1.4%,17.4%,41.7%,39.5%
Sunflower County,Mississippi,92.9%,77.0%,15.9%,0.1%,4.5%,0.0%,1.1%,1.4%,70.5%,28.6%,34.3%,23.2%,10.4%,7.2%,4.7%,9.1%,4.8%,3.8%,2.6%,16.6,3.3%,29.7%,40.4%,26.6%
Tallahatchie County,Mississippi,92.8%,72.5%,20.3%,1.7%,4.3%,0.0%,0.7%,0.6%,50.1%,49.8%,23.2%,11.0%,12.3%,11.5%,4.4%,10.3%,5.4%,11.2%,10.7%,25.4,5.0%,21.3%,38.6%,35.0%
Tate County,Mississippi,90.6%,80.7%,9.9%,0.1%,3.8%,1.4%,1.2%,3.0%,48.4%,32.4%,19.6%,8.9%,10.5%,9.8%,5.6%,13.2%,7.8%,15.2%,9.5%,27.1,1.8%,20.0%,37.5%,40.7%
Tippah County,Mississippi,93.8%,83.3%,10.5%,1.1%,2.3%,0.0%,1.3%,1.5%,63.4%,29.6%,16.9%,17.2%,16.2%,11.3%,9.2%,9.8%,4.8%,7.4%,7.2%,23.4,1.1%,18.8%,47.0%,33.1%
Tishomingo County,Mississippi,96.5%,88.2%,8.2%,0.0%,1.5%,0.3%,0.8%,0.9%,61.4%,25.4%,20.9%,18.0%,19.2%,10.2%,4.3%,9.2%,4.4%,8.4%,5.4%,21.7,1.4%,15.6%,32.5%,50.5%
Tunica County,Mississippi,90.5%,74.3%,16.2%,0.9%,4.1%,0.0%,3.7%,0.8%,84.5%,7.7%,32.9%,15.0%,20.2%,7.4%,3.1%,7.6%,3.9%,4.8%,5.1%,18.3,4.0%,35.1%,43.2%,17.8%
Union County,Mississippi,95.5%,81.5%,13.9%,0.2%,1.0%,0.0%,1.7%,1.6%,53.8%,42.1%,17.6%,15.3%,15.5%,13.2%,6.6%,14.2%,5.5%,6.0%,6.0%,24.2,1.1%,15.8%,40.5%,42.6%
Walthall County,Mississippi,88.0%,80.4%,7.6%,0.7%,2.2%,0.0%,5.9%,3.2%,48.3%,42.4%,12.6%,9.4%,8.4%,16.0%,9.0%,14.5%,7.0%,4.1%,19.0%,36.3,1.6%,21.8%,36.3%,40.4%
Warren County,Mississippi,95.3%,84.8%,10.5%,0.1%,1.0%,0.0%,1.9%,1.7%,87.5%,10.4%,19.1%,23.1%,22.1%,13.2%,2.3%,8.8%,2.2%,4.6%,4.6%,19.3,1.9%,25.2%,39.7%,33.2%
Washington County,Mississippi,93.1%,78.4%,14.7%,0.4%,2.2%,0.1%,1.0%,3.2%,88.9%,8.7%,24.9%,23.2%,19.0%,10.6%,3.5%,9.4%,2.5%,3.2%,3.7%,18.7,5.8%,26.6%,39.9%,27.7%
Wayne County,Mississippi,90.6%,78.3%,12.3%,0.5%,0.4%,0.0%,3.6%,4.9%,68.4%,23.7%,19.4%,17.6%,15.8%,8.4%,3.7%,12.5%,1.9%,6.6%,14.0%,32.1,1.0%,21.4%,45.1%,32.5%
Webster County,Mississippi,94.2%,80.2%,14.0%,0.2%,2.7%,0.0%,1.7%,1.3%,47.4%,51.5%,24.7%,10.2%,9.5%,8.3%,6.6%,10.6%,9.8%,12.4%,7.9%,26.3,1.4%,14.2%,38.2%,46.2%
Wilkinson County,Mississippi,94.4%,84.4%,10.0%,0.4%,1.6%,0.0%,0.2%,3.4%,50.6%,19.9%,22.4%,18.2%,9.4%,6.5%,1.9%,8.3%,11.0%,9.2%,13.1%,26.8,4.8%,31.3%,32.0%,31.9%
Winston County,Mississippi,93.8%,79.3%,14.5%,0.5%,2.2%,0.0%,0.7%,2.7%,68.0%,30.7%,22.5%,16.1%,12.4%,11.6%,5.0%,9.5%,7.9%,6.2%,8.8%,24.8,2.9%,19.3%,34.4%,43.4%
Yalobusha County,Mississippi,95.2%,83.3%,11.9%,0.0%,1.7%,0.0%,0.6%,2.5%,48.6%,47.8%,18.4%,11.9%,10.8%,12.2%,3.5%,21.5%,9.2%,7.8%,4.8%,24.1,1.3%,22.2%,40.0%,36.6%
Yazoo County,Mississippi,96.3%,80.7%,15.6%,0.6%,0.7%,0.0%,1.0%,1.5%,61.3%,38.1%,23.8%,12.9%,10.9%,5.7%,3.2%,7.7%,8.9%,14.0%,12.8%,26.9,4.5%,23.4%,35.1%,37.0%
Adair County,Missouri,87.3%,77.4%,9.9%,0.2%,7.6%,1.4%,0.8%,2.7%,87.4%,10.9%,41.0%,20.8%,17.2%,9.2%,2.0%,4.6%,1.5%,1.3%,2.4%,13.9,4.1%,20.2%,41.5%,34.3%
Andrew County,Missouri,94.0%,83.8%,10.2%,0.1%,0.6%,0.2%,0.8%,4.4%,26.3%,69.7%,13.4%,16.6%,16.4%,21.7%,9.3%,10.2%,2.7%,3.9%,5.8%,22.6,1.6%,10.5%,38.3%,49.6%
Atchison County,Missouri,90.6%,80.4%,10.2%,0.0%,3.5%,0.2%,0.5%,5.2%,66.9%,7.5%,37.5%,15.6%,9.8%,10.6%,4.2%,10.8%,3.8%,2.6%,5.2%,19.2,0.3%,9.8%,46.5%,43.4%
Audrain County,Missouri,90.7%,79.1%,11.5%,0.0%,2.2%,0.1%,0.7%,6.3%,74.8%,24.8%,31.9%,21.5%,11.1%,8.8%,3.5%,8.1%,4.2%,6.7%,4.2%,19.5,3.4%,14.7%,48.5%,33.4%
Barry County,Missouri,91.7%,79.3%,12.5%,0.6%,1.2%,0.3%,0.7%,5.5%,71.0%,17.0%,22.5%,18.1%,13.8%,10.4%,4.7%,12.4%,4.0%,6.9%,7.2%,22.2,1.2%,20.1%,40.1%,38.6%
Barton County,Missouri,88.6%,76.5%,12.0%,0.0%,3.7%,0.1%,1.4%,6.3%,64.5%,23.4%,32.4%,12.3%,9.1%,9.6%,8.0%,9.9%,5.7%,7.1%,6.0%,21.6,2.2%,12.2%,36.5%,49.0%
Bates County,Missouri,92.6%,77.9%,14.8%,0.2%,1.3%,0.0%,0.7%,5.1%,52.8%,36.9%,26.4%,10.4%,11.3%,6.4%,4.0%,11.4%,5.0%,9.3%,15.7%,28.0,1.1%,15.9%,43.7%,39.3%
Benton County,Missouri,89.6%,81.2%,8.4%,0.0%,3.4%,0.0%,0.7%,6.3%,62.4%,36.2%,21.1%,10.0%,11.0%,9.5%,5.3%,13.9%,4.5%,8.1%,16.7%,34.1,2.2%,19.0%,47.0%,31.9%
Bollinger County,Missouri,92.5%,81.2%,11.3%,0.1%,1.8%,0.0%,1.5%,4.1%,34.5%,62.1%,10.3%,6.3%,12.1%,10.6%,2.4%,12.3%,14.9%,19.9%,11.2%,33.0,1.7%,14.4%,33.1%,50.9%
Boone County,Missouri,89.4%,76.6%,12.7%,0.5%,4.7%,1.0%,1.0%,3.5%,89.8%,9.2%,19.7%,22.4%,24.3%,13.7%,4.2%,7.8%,3.2%,2.4%,2.3%,17.8,2.4%,21.0%,46.8%,29.7%
Buchanan County,Missouri,93.1%,80.9%,12.2%,0.8%,1.8%,0.0%,1.3%,3.0%,85.6%,8.5%,23.2%,28.8%,21.9%,8.9%,2.4%,4.2%,2.3%,3.2%,5.1%,17.4,2.4%,22.5%,43.2%,31.8%
Butler County,Missouri,93.6%,84.7%,8.9%,0.6%,1.1%,0.1%,1.0%,3.8%,89.9%,8.6%,27.9%,24.8%,18.5%,10.3%,4.0%,6.8%,3.2%,1.8%,2.7%,16.4,3.1%,20.9%,42.0%,34.1%
Caldwell County,Missouri,91.7%,75.5%,16.2%,0.0%,1.2%,0.2%,0.8%,6.1%,33.3%,63.4%,14.7%,9.8%,11.4%,8.1%,4.0%,8.2%,6.6%,14.9%,22.4%,34.4,1.7%,15.8%,32.3%,50.2%
Callaway County,Missouri,92.4%,79.0%,13.4%,0.5%,3.1%,0.0%,0.9%,3.1%,50.7%,48.4%,19.0%,15.6%,18.4%,14.9%,7.8%,11.6%,6.1%,4.4%,2.4%,20.2,2.0%,17.2%,41.3%,39.5%
Camden County,Missouri,84.4%,73.6%,10.8%,0.4%,1.9%,0.0%,2.8%,10.6%,79.7%,18.8%,22.5%,16.7%,13.7%,16.0%,5.4%,10.7%,4.8%,5.1%,5.1%,21.2,2.1%,19.0%,45.5%,33.4%
Cape Girardeau County,Missouri,93.2%,82.5%,10.7%,0.3%,2.8%,0.4%,0.5%,2.8%,87.5%,10.6%,23.1%,21.8%,17.5%,14.0%,5.1%,8.8%,2.8%,3.8%,3.0%,18.4,1.5%,18.7%,40.9%,38.8%
Carroll County,Missouri,88.6%,75.0%,13.6%,0.2%,2.9%,0.0%,0.7%,7.5%,63.2%,34.2%,31.0%,10.9%,8.2%,9.0%,5.5%,11.4%,4.1%,5.3%,14.6%,26.7,2.2%,12.8%,43.6%,41.4%
Carter County,Missouri,91.5%,79.5%,11.9%,0.0%,3.2%,0.0%,0.5%,4.8%,52.6%,42.5%,23.8%,9.6%,9.3%,8.2%,6.1%,15.9%,11.8%,4.3%,11.0%,31.2,0.3%,14.6%,36.3%,48.8%
Cass County,Missouri,93.5%,82.4%,11.1%,0.4%,1.2%,0.1%,0.7%,4.1%,37.1%,41.8%,13.8%,8.8%,10.1%,12.3%,6.7%,16.4%,11.6%,13.6%,6.7%,28.2,1.0%,13.3%,44.1%,41.6%
Cedar County,Missouri,87.2%,76.1%,11.1%,0.1%,6.9%,0.0%,0.4%,5.4%,60.3%,36.0%,35.3%,11.3%,5.6%,7.5%,2.2%,18.1%,7.1%,3.4%,9.5%,22.6,3.5%,19.0%,37.4%,40.1%
Chariton County,Missouri,87.6%,79.2%,8.3%,0.0%,2.6%,0.0%,0.9%,8.9%,53.7%,45.8%,28.4%,13.1%,10.4%,8.7%,4.1%,14.2%,6.2%,8.0%,6.9%,23.2,2.1%,13.9%,39.1%,44.9%
Christian County,Missouri,93.1%,82.3%,10.8%,0.1%,1.2%,0.0%,1.6%,4.0%,35.5%,63.1%,11.8%,10.5%,13.3%,18.1%,9.5%,21.2%,6.8%,5.7%,3.1%,24.1,1.1%,14.2%,51.1%,33.6%
Clark County,Missouri,88.5%,75.0%,13.6%,0.6%,3.2%,0.0%,1.4%,6.2%,49.6%,8.9%,20.9%,8.3%,9.6%,17.0%,8.4%,14.8%,8.6%,7.2%,5.2%,24.1,1.5%,14.4%,39.6%,44.5%
Clay County,Missouri,94.4%,85.0%,9.3%,0.8%,1.2%,0.0%,0.8%,2.8%,45.8%,41.0%,11.5%,14.4%,19.0%,18.1%,7.8%,13.6%,7.0%,5.6%,3.0%,22.5,1.8%,18.6%,48.9%,30.7%
Clinton County,Missouri,93.0%,80.9%,12.1%,0.1%,2.6%,0.0%,1.1%,3.4%,33.6%,61.3%,23.4%,10.4%,6.4%,7.0%,6.4%,11.3%,11.3%,14.7%,9.1%,28.6,1.6%,12.8%,40.4%,45.2%
Cole County,Missouri,94.1%,82.4%,11.7%,0.3%,1.5%,0.1%,0.8%,3.2%,88.0%,11.7%,18.9%,25.7%,22.1%,14.2%,3.9%,5.9%,3.3%,3.4%,2.6%,17.9,2.1%,19.3%,44.7%,34.0%
Cooper County,Missouri,91.8%,73.0%,18.8%,0.8%,3.1%,0.1%,1.0%,3.2%,59.9%,39.4%,23.6%,15.4%,8.1%,9.7%,5.9%,11.2%,8.9%,9.4%,7.8%,25.4,1.9%,15.4%,43.6%,39.1%
Crawford County,Missouri,93.6%,73.2%,20.4%,0.2%,2.1%,0.0%,0.6%,3.4%,52.1%,46.9%,19.9%,13.7%,15.1%,12.1%,4.4%,9.5%,3.1%,8.5%,13.7%,27.9,2.6%,19.1%,39.9%,38.4%
Dade County,Missouri,87.2%,79.1%,8.0%,0.2%,5.6%,0.3%,1.9%,4.9%,54.9%,43.1%,29.5%,11.9%,8.8%,4.0%,3.2%,11.3%,7.7%,13.4%,10.3%,25.8,3.0%,19.0%,32.5%,45.5%
Dallas County,Missouri,91.7%,77.6%,14.1%,0.6%,2.2%,0.1%,0.1%,5.2%,41.6%,57.5%,16.9%,10.6%,12.2%,5.6%,6.8%,10.9%,13.1%,15.7%,8.3%,27.9,2.3%,13.5%,36.7%,47.5%
Daviess County,Missouri,89.2%,70.2%,19.0%,0.0%,1.6%,0.1%,2.5%,6.6%,47.7%,47.2%,24.1%,8.2%,13.3%,8.7%,5.7%,10.6%,3.6%,6.5%,19.3%,30.0,6.4%,11.2%,33.3%,49.1%
DeKalb County,Missouri,91.4%,80.7%,10.7%,0.1%,1.3%,0.0%,1.0%,6.1%,44.0%,51.0%,23.4%,14.7%,11.0%,9.3%,8.5%,8.8%,9.9%,5.7%,8.6%,23.5,1.4%,19.3%,36.7%,42.6%
Dent County,Missouri,92.0%,80.1%,11.9%,0.0%,1.4%,0.2%,3.5%,3.0%,67.3%,32.1%,22.3%,15.3%,13.2%,7.8%,4.7%,10.5%,7.4%,11.3%,7.4%,25.4,2.4%,13.0%,39.3%,45.3%
Douglas County,Missouri,89.4%,80.4%,9.0%,0.1%,3.4%,0.0%,1.1%,5.9%,61.5%,36.1%,14.6%,13.4%,17.9%,9.9%,3.7%,19.0%,1.7%,6.7%,13.2%,27.6,0.3%,13.6%,40.3%,45.8%
Dunklin County,Missouri,96.0%,82.3%,13.7%,0.1%,1.1%,0.0%,1.1%,1.7%,62.9%,22.3%,30.7%,14.3%,9.5%,9.1%,5.4%,10.4%,6.0%,10.8%,3.8%,20.9,4.1%,21.7%,50.7%,23.5%
